iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
25,0.9519329858476343,2022-09-23 18:38:36.766654,2022-09-23 18:39:56.984721,0 days 00:01:20.218067,30.0,343.0,120.0,13.0,478.0,412.0,COMPLETE
115,0.9519140278090744,2022-09-23 20:11:10.273843,2022-09-23 20:12:09.394626,0 days 00:00:59.120783,28.0,350.0,115.0,26.0,453.0,392.0,COMPLETE
213,0.9519107140490172,2022-09-23 21:28:19.913105,2022-09-23 21:29:07.909171,0 days 00:00:47.996066,21.0,345.0,117.0,5.0,488.0,318.0,COMPLETE
127,0.9519107140490172,2022-09-23 20:21:28.290354,2022-09-23 20:22:20.092837,0 days 00:00:51.802483,21.0,348.0,116.0,6.0,457.0,344.0,COMPLETE
114,0.9519074002889599,2022-09-23 20:10:26.890194,2022-09-23 20:11:10.273557,0 days 00:00:43.383363,26.0,347.0,117.0,4.0,472.0,286.0,COMPLETE
109,0.9518974590087881,2022-09-23 20:06:27.914633,2022-09-23 20:07:39.766055,0 days 00:01:11.851422,27.0,341.0,106.0,9.0,475.0,477.0,COMPLETE
157,0.9518941452487308,2022-09-23 20:45:37.204097,2022-09-23 20:46:38.412971,0 days 00:01:01.208874,20.0,342.0,113.0,4.0,460.0,406.0,COMPLETE
23,0.9518899091080796,2022-09-23 18:36:28.852755,2022-09-23 18:37:38.180465,0 days 00:01:09.327710,22.0,350.0,74.0,11.0,459.0,357.0,COMPLETE
225,0.9518875177286164,2022-09-23 21:37:19.801809,2022-09-23 21:38:07.288084,0 days 00:00:47.486275,18.0,348.0,73.0,9.0,481.0,314.0,COMPLETE
206,0.951884203968559,2022-09-23 21:23:03.613240,2022-09-23 21:23:44.278726,0 days 00:00:40.665486,21.0,342.0,115.0,22.0,467.0,267.0,COMPLETE
3,0.9518832819173788,2022-09-23 18:15:09.474717,2022-09-23 18:15:58.144982,0 days 00:00:48.670265,34.0,322.0,82.0,7.0,437.0,250.0,COMPLETE
230,0.9518808902085018,2022-09-23 21:41:05.229698,2022-09-23 21:41:51.232857,0 days 00:00:46.003159,21.0,348.0,110.0,4.0,352.0,307.0,COMPLETE
277,0.9518775764484445,2022-09-23 22:15:59.924497,2022-09-23 22:16:44.151099,0 days 00:00:44.226602,18.0,340.0,118.0,4.0,490.0,291.0,COMPLETE
134,0.9518742626883873,2022-09-23 20:27:25.386476,2022-09-23 20:28:12.510448,0 days 00:00:47.123972,20.0,348.0,115.0,6.0,456.0,312.0,COMPLETE
52,0.9518510663679864,2022-09-23 19:15:53.993537,2022-09-23 19:16:37.373933,0 days 00:00:43.380396,23.0,331.0,77.0,9.0,456.0,286.0,COMPLETE
218,0.9518510663679864,2022-09-23 21:32:05.569070,2022-09-23 21:32:46.955634,0 days 00:00:41.386564,23.0,342.0,117.0,7.0,457.0,273.0,COMPLETE
