iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
28,0.9316230368596738,2022-09-22 01:05:51.186522,2022-09-22 01:06:43.078465,0 days 00:00:51.891943,29,213,94,9,294,349,COMPLETE
10,0.9315520566722726,2022-09-22 00:54:34.335291,2022-09-22 00:54:51.566934,0 days 00:00:17.231643,25,294,99,20,159,109,COMPLETE
6,0.9315334310994107,2022-09-22 00:50:56.828978,2022-09-22 00:51:33.923245,0 days 00:00:37.094267,28,218,84,25,422,245,COMPLETE
89,0.9310056876122156,2022-09-22 02:01:57.877993,2022-09-22 02:02:42.034773,0 days 00:00:44.156780,22,203,61,5,486,292,COMPLETE
84,0.9304764624436682,2022-09-22 01:56:43.039582,2022-09-22 01:57:41.060400,0 days 00:00:58.020818,29,171,58,3,512,393,COMPLETE
29,0.9302902973500301,2022-09-22 01:06:43.078636,2022-09-22 01:07:42.557027,0 days 00:00:59.478391,21,195,77,25,448,401,COMPLETE
1,0.9298510387708205,2022-09-22 00:46:20.661290,2022-09-22 00:47:14.196791,0 days 00:00:53.535501,21,191,62,26,438,360,COMPLETE
20,0.9292973025037934,2022-09-22 01:00:09.590543,2022-09-22 01:01:14.917596,0 days 00:01:05.327053,24,173,100,26,464,443,COMPLETE
30,0.929261195543043,2022-09-22 01:07:42.557185,2022-09-22 01:08:27.323378,0 days 00:00:44.766193,26,178,86,13,129,307,COMPLETE
13,0.929205608741701,2022-09-22 00:55:56.096602,2022-09-22 00:56:16.726139,0 days 00:00:20.629537,28,265,73,15,209,134,COMPLETE
4,0.9279373429191855,2022-09-22 00:49:11.344829,2022-09-22 00:50:19.815009,0 days 00:01:08.470180,23,152,62,11,415,472,COMPLETE
2,0.9277740933927645,2022-09-22 00:47:14.196957,2022-09-22 00:48:24.802706,0 days 00:01:10.605749,19,148,96,6,323,488,COMPLETE
3,0.9275803561480372,2022-09-22 00:48:24.802988,2022-09-22 00:49:11.344666,0 days 00:00:46.541678,26,150,79,7,435,317,COMPLETE
76,0.9262367712911094,2022-09-22 01:48:40.270886,2022-09-22 01:49:39.612157,0 days 00:00:59.341271,30,135,63,3,448,409,COMPLETE
38,0.9256271318110223,2022-09-22 01:12:52.277516,2022-09-22 01:13:44.669457,0 days 00:00:52.391941,30,131,61,24,438,362,COMPLETE
37,0.9229043386592255,2022-09-22 01:12:12.053225,2022-09-22 01:12:52.277322,0 days 00:00:40.224097,28,103,96,8,395,282,COMPLETE
14,0.9228417276489709,2022-09-22 00:56:16.726307,2022-09-22 00:56:52.501202,0 days 00:00:35.774895,25,106,49,22,512,247,COMPLETE
