iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
91,0.9670540929752721,2022-09-28 14:43:16.991005,2022-09-28 14:44:37.803524,0 days 00:01:20.812519,30.0,393.0,141.0,19.0,159.0,425.0,COMPLETE
93,0.9670416197975253,2022-09-28 14:45:54.127681,2022-09-28 14:47:23.555301,0 days 00:01:29.427620,29.0,394.0,143.0,17.0,589.0,457.0,COMPLETE
247,0.9670075347942638,2022-09-28 18:45:13.014718,2022-09-28 18:46:25.223877,0 days 00:01:12.209159,33.0,396.0,148.0,33.0,497.0,462.0,COMPLETE
71,0.9670042458289216,2022-09-28 14:14:31.098174,2022-09-28 14:15:46.728711,0 days 00:01:15.630537,36.0,393.0,142.0,18.0,563.0,388.0,COMPLETE
100,0.9670034333314572,2022-09-28 14:54:42.782917,2022-09-28 14:55:58.033431,0 days 00:01:15.250514,35.0,394.0,144.0,22.0,169.0,397.0,COMPLETE
297,0.9670004583759388,2022-09-28 19:35:45.599500,2022-09-28 19:36:52.398688,0 days 00:01:06.799188,31.0,395.0,148.0,30.0,469.0,428.0,COMPLETE
141,0.9669994619477491,2022-09-28 15:53:18.152635,2022-09-28 15:54:39.386681,0 days 00:01:21.234046,31.0,394.0,138.0,21.0,485.0,418.0,COMPLETE
202,0.9669923255135366,2022-09-28 17:21:16.033110,2022-09-28 17:22:46.026389,0 days 00:01:29.993279,32.0,400.0,146.0,37.0,491.0,463.0,COMPLETE
184,0.9669884190264382,2022-09-28 16:54:17.334384,2022-09-28 16:55:39.843509,0 days 00:01:22.509125,29.0,382.0,135.0,24.0,547.0,424.0,COMPLETE
74,0.9669881136115145,2022-09-28 14:18:20.982613,2022-09-28 14:19:42.603690,0 days 00:01:21.621077,32.0,397.0,134.0,11.0,532.0,419.0,COMPLETE
68,0.9669870690564419,2022-09-28 14:10:08.632935,2022-09-28 14:11:35.995838,0 days 00:01:27.362903,26.0,387.0,137.0,16.0,512.0,449.0,COMPLETE
259,0.9669722701012686,2022-09-28 18:58:56.123717,2022-09-28 19:00:05.947507,0 days 00:01:09.823790,32.0,398.0,144.0,30.0,156.0,459.0,COMPLETE
205,0.9669666289075417,2022-09-28 17:25:42.012058,2022-09-28 17:27:11.167668,0 days 00:01:29.155610,35.0,398.0,145.0,32.0,498.0,459.0,COMPLETE
287,0.9669623403820254,2022-09-28 19:25:32.624286,2022-09-28 19:26:20.231691,0 days 00:00:47.607405,16.0,392.0,145.0,28.0,489.0,302.0,COMPLETE
152,0.9669594929500227,2022-09-28 16:08:40.104544,2022-09-28 16:10:07.009241,0 days 00:01:26.904697,29.0,398.0,145.0,30.0,528.0,446.0,COMPLETE
150,0.9669587723123233,2022-09-28 16:05:42.660740,2022-09-28 16:07:12.911302,0 days 00:01:30.250562,32.0,400.0,148.0,28.0,498.0,464.0,COMPLETE
117,0.9669558673029784,2022-09-28 15:19:04.734506,2022-09-28 15:20:43.461072,0 days 00:01:38.726566,28.0,398.0,135.0,26.0,422.0,510.0,COMPLETE
145,0.9669440388438331,2022-09-28 15:58:48.536000,2022-09-28 16:00:04.641548,0 days 00:01:16.105548,28.0,390.0,140.0,24.0,488.0,392.0,COMPLETE
79,0.9669259810492908,2022-09-28 14:25:44.361800,2022-09-28 14:27:18.334025,0 days 00:01:33.972225,29.0,371.0,137.0,9.0,577.0,483.0,COMPLETE
67,0.9669210480042202,2022-09-28 14:08:45.499649,2022-09-28 14:10:08.632650,0 days 00:01:23.133001,30.0,396.0,121.0,23.0,567.0,426.0,COMPLETE
114,0.9669182394358771,2022-09-28 15:14:46.704728,2022-09-28 15:16:10.289279,0 days 00:01:23.584551,29.0,390.0,141.0,21.0,526.0,429.0,COMPLETE
172,0.9669068391125927,2022-09-28 16:37:38.605523,2022-09-28 16:38:59.054458,0 days 00:01:20.448935,50.0,387.0,143.0,8.0,281.0,421.0,COMPLETE
53,0.9669050525375256,2022-09-28 13:48:49.828143,2022-09-28 13:50:05.400707,0 days 00:01:15.572564,43.0,396.0,145.0,24.0,168.0,398.0,COMPLETE
252,0.966899783324819,2022-09-28 18:51:11.001208,2022-09-28 18:52:26.180053,0 days 00:01:15.178845,33.0,395.0,146.0,32.0,490.0,481.0,COMPLETE
224,0.9668970765425835,2022-09-28 18:18:01.163570,2022-09-28 18:19:11.877890,0 days 00:01:10.714320,31.0,400.0,148.0,29.0,515.0,451.0,COMPLETE
178,0.966894214748209,2022-09-28 16:46:07.526025,2022-09-28 16:47:37.995130,0 days 00:01:30.469105,48.0,391.0,149.0,23.0,548.0,464.0,COMPLETE
