iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
98,0.9989560092318114,2022-09-21 20:05:26.415030,2022-09-21 20:05:42.505810,0 days 00:00:16.090780,27,229,76,29,354,108,COMPLETE
46,0.9989543855017387,2022-09-21 19:45:17.062255,2022-09-21 19:45:44.300073,0 days 00:00:27.237818,24,292,49,14,287,183,COMPLETE
55,0.9989467427236608,2022-09-21 19:49:22.036434,2022-09-21 19:49:44.554693,0 days 00:00:22.518259,25,273,88,24,492,148,COMPLETE
20,0.9989464167738795,2022-09-21 19:33:33.765317,2022-09-21 19:33:53.279971,0 days 00:00:19.514654,26,299,55,9,251,131,COMPLETE
66,0.9989373416062222,2022-09-21 19:53:58.059273,2022-09-21 19:54:14.373876,0 days 00:00:16.314603,23,185,74,17,385,109,COMPLETE
17,0.9989352225593631,2022-09-21 19:31:51.374413,2022-09-21 19:32:13.369799,0 days 00:00:21.995386,20,269,79,25,433,144,COMPLETE
94,0.9989270199372237,2022-09-21 20:03:27.545641,2022-09-21 20:03:49.772487,0 days 00:00:22.226846,17,251,85,20,346,149,COMPLETE
71,0.9989262531114257,2022-09-21 19:55:32.972368,2022-09-21 19:55:52.178370,0 days 00:00:19.206002,17,220,86,15,359,129,COMPLETE
65,0.9989228495335833,2022-09-21 19:53:37.750031,2022-09-21 19:53:58.059062,0 days 00:00:20.309031,24,243,71,21,409,135,COMPLETE
72,0.9989116367657472,2022-09-21 19:55:52.178594,2022-09-21 19:56:12.435057,0 days 00:00:20.256463,18,209,92,14,338,136,COMPLETE
89,0.9989079427106048,2022-09-21 20:01:45.260067,2022-09-21 20:02:03.997402,0 days 00:00:18.737335,21,206,83,18,359,127,COMPLETE
83,0.9989078703122165,2022-09-21 19:59:52.763140,2022-09-21 20:00:11.829604,0 days 00:00:19.066464,20,210,90,23,382,128,COMPLETE
60,0.9988958089505657,2022-09-21 19:52:00.526944,2022-09-21 19:52:17.839349,0 days 00:00:17.312405,26,264,93,19,338,112,COMPLETE
34,0.9988939976766995,2022-09-21 19:39:54.078040,2022-09-21 19:40:12.373300,0 days 00:00:18.295260,25,289,75,10,207,123,COMPLETE
31,0.9988908668623006,2022-09-21 19:38:51.965148,2022-09-21 19:39:11.576223,0 days 00:00:19.611075,26,298,55,5,245,132,COMPLETE
26,0.99888723132722,2022-09-21 19:36:02.934475,2022-09-21 19:36:26.799841,0 days 00:00:23.865366,27,286,100,21,310,159,COMPLETE
27,0.9988868790872408,2022-09-21 19:36:26.800021,2022-09-21 19:36:46.355891,0 days 00:00:19.555870,26,261,71,14,238,132,COMPLETE
33,0.9988864801288899,2022-09-21 19:39:30.097784,2022-09-21 19:39:54.077782,0 days 00:00:23.979998,29,271,54,15,262,162,COMPLETE
22,0.9988804906371469,2022-09-21 19:34:13.853677,2022-09-21 19:34:36.638147,0 days 00:00:22.784470,23,278,64,8,303,153,COMPLETE
