iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
1018,0.930441713149748,2022-06-14 01:20:41.816126,2022-06-14 01:20:42.835298,0 days 00:00:01.019172,0.5163455698915956,True,0.3657521940343713,8434678.0,False,random,0.08758831460063699,COMPLETE
391,0.9304420348560004,2022-06-14 00:20:22.143118,2022-06-14 00:20:22.867147,0 days 00:00:00.724029,1.169899803350632,True,0.17033675586548308,7752137.0,False,random,0.07840641953360776,COMPLETE
1154,0.9304420421476857,2022-06-14 01:23:05.359315,2022-06-14 01:23:06.731830,0 days 00:00:01.372515,0.7353005308444721,True,0.2597132395795933,7358117.0,False,random,0.08495241157861817,COMPLETE
1678,0.9304420421476857,2022-06-14 01:33:48.390507,2022-06-14 01:33:49.679305,0 days 00:00:01.288798,0.6440630111107756,True,0.29697892920751406,9084353.0,False,random,0.08046978658718508,COMPLETE
1538,0.9304420421476857,2022-06-14 01:30:43.304261,2022-06-14 01:30:44.525719,0 days 00:00:01.221458,0.6644848885340718,True,0.2875760190190564,9108809.0,False,random,0.08905604188315559,COMPLETE
1657,0.9304422614796444,2022-06-14 01:33:19.929496,2022-06-14 01:33:21.560943,0 days 00:00:01.631447,0.6728488849511798,True,0.2872014461094495,9342217.0,False,random,0.08957388404440353,COMPLETE
1653,0.9304422614796444,2022-06-14 01:33:14.544378,2022-06-14 01:33:15.822367,0 days 00:00:01.277989,0.6714220620848916,True,0.28794405057970024,9385054.0,False,random,0.0867639458422988,COMPLETE
555,0.9304431460991639,2022-06-14 00:22:24.812865,2022-06-14 00:22:25.603807,0 days 00:00:00.790942,0.8259842638040215,True,0.22898065950670404,8430487.0,False,random,0.0892940425641733,COMPLETE
317,0.9304431460991639,2022-06-14 00:19:31.338461,2022-06-14 00:19:32.022842,0 days 00:00:00.684381,1.0120670349741503,True,0.18648435801445581,6656656.0,False,random,0.08246236462434317,COMPLETE
1434,0.9304432484734579,2022-06-14 01:28:31.663417,2022-06-14 01:28:32.846967,0 days 00:00:01.183550,0.643490920231929,True,0.31159350856003093,8142765.0,False,random,0.08383636789592029,COMPLETE
