iteration,recall,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
1009,0.9028466819221967,2022-07-03 00:31:58.023489,2022-07-03 00:31:59.889085,0 days 00:00:01.865596,1.5000000000000002,0.4137674164000882,390.0,32623086.0,l1,0.06685216636616857,COMPLETE
649,0.9028466819221967,2022-07-03 00:21:17.423886,2022-07-03 00:21:19.118937,0 days 00:00:01.695051,4.6,0.2315263490163461,88.0,32704617.0,l1,0.07151587360712773,COMPLETE
650,0.9028466819221967,2022-07-03 00:21:19.119766,2022-07-03 00:21:20.810567,0 days 00:00:01.690801,5.2,0.5449293943877886,254.0,17594723.0,l1,0.0688419329367986,COMPLETE
651,0.9028466819221967,2022-07-03 00:21:20.811262,2022-07-03 00:21:22.500989,0 days 00:00:01.689727,4.2,0.5773906370752157,186.0,17521015.0,l1,0.06897086805237612,COMPLETE
652,0.9028466819221967,2022-07-03 00:21:22.501609,2022-07-03 00:21:24.189553,0 days 00:00:01.687944,3.8000000000000003,0.03493973372265081,246.0,18198040.0,l1,0.0686092481505993,COMPLETE
653,0.9028466819221967,2022-07-03 00:21:24.190484,2022-07-03 00:21:25.889635,0 days 00:00:01.699151,5.4,0.6098341008958121,252.0,16741252.0,l1,0.0660975781230545,COMPLETE
1008,0.9028466819221967,2022-07-03 00:31:56.165368,2022-07-03 00:31:58.022620,0 days 00:00:01.857252,1.5000000000000002,0.40120451913597466,335.0,32817172.0,l1,0.06946873892519562,COMPLETE
654,0.9028466819221967,2022-07-03 00:21:25.890457,2022-07-03 00:21:27.581632,0 days 00:00:01.691175,4.5,0.08386463661006259,236.0,17840627.0,l1,0.06875096969501196,COMPLETE
655,0.9028466819221967,2022-07-03 00:21:27.582319,2022-07-03 00:21:29.268267,0 days 00:00:01.685948,4.2,0.5621880311341242,142.0,16537795.0,l1,0.0695235117233345,COMPLETE
656,0.9028466819221967,2022-07-03 00:21:29.268894,2022-07-03 00:21:30.974503,0 days 00:00:01.705609,1.4000000000000001,0.9925784154054652,138.0,32029547.0,l1,0.0654289109647688,COMPLETE
1117,0.9028466819221967,2022-07-03 00:35:18.655663,2022-07-03 00:35:20.578274,0 days 00:00:01.922611,1.3000000000000003,0.392261465358087,371.0,46805533.0,l1,0.07224056719469989,COMPLETE
