iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
635,0.9648692737989603,2022-06-12 14:57:41.412642,2022-06-12 14:57:42.362911,0 days 00:00:00.950269,7.928601340904077,svd,COMPLETE
636,0.9648692737989603,2022-06-12 14:57:42.363461,2022-06-12 14:57:43.301473,0 days 00:00:00.938012,8.234762349785006,svd,COMPLETE
637,0.9648692737989603,2022-06-12 14:57:43.302022,2022-06-12 14:57:44.243844,0 days 00:00:00.941822,7.919722286402346,svd,COMPLETE
638,0.9648692737989603,2022-06-12 14:57:44.244376,2022-06-12 14:57:45.187588,0 days 00:00:00.943212,7.838173494477759,svd,COMPLETE
639,0.9648692737989603,2022-06-12 14:57:45.188121,2022-06-12 14:57:46.134872,0 days 00:00:00.946751,7.702813516957271,svd,COMPLETE
640,0.9648692737989603,2022-06-12 14:57:46.135402,2022-06-12 14:57:47.081440,0 days 00:00:00.946038,7.592588471910734,svd,COMPLETE
641,0.9648692737989603,2022-06-12 14:57:47.081972,2022-06-12 14:57:48.031940,0 days 00:00:00.949968,7.745268535713931,svd,COMPLETE
642,0.9648692737989603,2022-06-12 14:57:48.032473,2022-06-12 14:57:48.977632,0 days 00:00:00.945159,7.743287353251974,svd,COMPLETE
643,0.9648692737989603,2022-06-12 14:57:48.978175,2022-06-12 14:57:49.927421,0 days 00:00:00.949246,7.7835081614637485,svd,COMPLETE
644,0.9648692737989603,2022-06-12 14:57:49.928003,2022-06-12 14:57:50.874809,0 days 00:00:00.946806,7.636266715921699,svd,COMPLETE
645,0.9648692737989603,2022-06-12 14:57:50.875409,2022-06-12 14:57:51.822642,0 days 00:00:00.947233,7.7387320868867375,svd,COMPLETE
646,0.9648692737989603,2022-06-12 14:57:51.823191,2022-06-12 14:57:52.772286,0 days 00:00:00.949095,7.567627483856028,svd,COMPLETE
647,0.9648692737989603,2022-06-12 14:57:52.772829,2022-06-12 14:57:53.719225,0 days 00:00:00.946396,8.055041761323915,svd,COMPLETE
985,0.9648692737989603,2022-06-12 15:03:23.485248,2022-06-12 15:03:24.498930,0 days 00:00:01.013682,7.198559479064839,svd,COMPLETE
648,0.9648692737989603,2022-06-12 14:57:53.719738,2022-06-12 14:57:54.665352,0 days 00:00:00.945614,7.445988226574354,svd,COMPLETE
649,0.9648692737989603,2022-06-12 14:57:54.665915,2022-06-12 14:57:55.613273,0 days 00:00:00.947358,7.573449484476863,svd,COMPLETE
984,0.9648692737989603,2022-06-12 15:03:22.242001,2022-06-12 15:03:23.484475,0 days 00:00:01.242474,7.090943262339557,svd,COMPLETE
678,0.9648692737989603,2022-06-12 14:58:21.970665,2022-06-12 14:58:22.934532,0 days 00:00:00.963867,5.289747269659401,svd,COMPLETE
679,0.9648692737989603,2022-06-12 14:58:22.935109,2022-06-12 14:58:23.892655,0 days 00:00:00.957546,4.860373078018096,svd,COMPLETE
