iteration,f1_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
295,0.9616369197231208,2022-07-02 21:44:50.643429,2022-07-02 21:44:58.576824,0 days 00:00:07.933395,0.1,0.08720728824126861,101,26673821,l1,2.0243511481603466e-05,COMPLETE
782,0.9616369197231208,2022-07-02 22:37:15.078863,2022-07-02 22:37:22.787366,0 days 00:00:07.708503,0.1,0.0019588883672708585,397,10009210,l1,0.0019146592787261671,COMPLETE
247,0.9616369197231208,2022-07-02 21:39:43.636266,2022-07-02 21:39:51.057224,0 days 00:00:07.420958,0.1,0.03197384812169382,127,30450619,l1,0.0022781550127194505,COMPLETE
274,0.9616369197231208,2022-07-02 21:42:28.918856,2022-07-02 21:42:36.751024,0 days 00:00:07.832168,0.1,0.05850210973826357,153,32140201,l1,0.0016338093386020279,COMPLETE
245,0.9616369197231208,2022-07-02 21:39:29.130629,2022-07-02 21:39:36.591736,0 days 00:00:07.461107,0.1,0.03847801213463879,131,30149404,l1,0.0019473625069251314,COMPLETE
988,0.9616369197231208,2022-07-02 22:59:50.687803,2022-07-02 22:59:58.700751,0 days 00:00:08.012948,0.1,0.02772316757520952,281,18503104,l1,0.0017864666442358615,COMPLETE
251,0.9616369197231208,2022-07-02 21:40:12.346369,2022-07-02 21:40:19.776666,0 days 00:00:07.430297,0.1,0.036106397137011914,123,34126286,l1,0.002015916815209391,COMPLETE
977,0.9616369197231208,2022-07-02 22:58:30.782912,2022-07-02 22:58:39.115369,0 days 00:00:08.332457,0.1,0.623304156798565,158,27600733,l1,9.198907549262761e-05,COMPLETE
362,0.9616369197231208,2022-07-02 21:51:44.223049,2022-07-02 21:51:51.750367,0 days 00:00:07.527318,0.1,0.5925879000112653,99,21353651,l1,0.0018192449910525827,COMPLETE
234,0.9616369197231208,2022-07-02 21:38:03.623265,2022-07-02 21:38:11.105272,0 days 00:00:07.482007,0.1,0.02934542643496486,126,32291844,l1,0.0018544761264718639,COMPLETE
238,0.9616369197231208,2022-07-02 21:38:34.465636,2022-07-02 21:38:42.226734,0 days 00:00:07.761098,0.1,0.00013464387161669922,121,27375972,l1,0.00020317866578718568,COMPLETE
237,0.9616369197231208,2022-07-02 21:38:26.404912,2022-07-02 21:38:34.465350,0 days 00:00:08.060438,0.1,0.002290512647213451,124,30039036,l1,7.838804417159242e-05,COMPLETE
53,0.9616369197231208,2022-07-02 21:19:11.554249,2022-07-02 21:19:19.422462,0 days 00:00:07.868213,0.1,0.17083009394805246,451,2596899,l1,0.0003768540332731265,COMPLETE
967,0.9616369197231208,2022-07-02 22:57:25.311313,2022-07-02 22:57:33.588136,0 days 00:00:08.276823,0.1,0.6588742008347882,333,25863697,l1,0.0016141041877296288,COMPLETE
236,0.9616369197231208,2022-07-02 21:38:18.596838,2022-07-02 21:38:26.404606,0 days 00:00:07.807768,0.1,0.008382806820717136,130,30201453,l1,0.0002321556525145962,COMPLETE
21,0.9616369197231208,2022-07-02 21:16:53.461748,2022-07-02 21:17:01.588957,0 days 00:00:08.127209,0.1,0.010477564491572111,386,1832998,l1,0.0013248831920427333,COMPLETE
227,0.9616366398327512,2022-07-02 21:37:12.814302,2022-07-02 21:37:20.160869,0 days 00:00:07.346567,0.1,0.03882791592781599,134,24989750,l1,0.0022824762015863725,COMPLETE
605,0.9616349602383671,2022-07-02 22:17:35.954384,2022-07-02 22:17:43.511172,0 days 00:00:07.556788,6.7,0.7626741008473904,435,23648682,l1,0.0019358875269404592,COMPLETE
915,0.9616349602383671,2022-07-02 22:51:42.462542,2022-07-02 22:51:50.173535,0 days 00:00:07.710993,6.8,0.13113336971279838,110,3760100,l1,0.001995689795971831,COMPLETE
757,0.9616349602383671,2022-07-02 22:34:25.323002,2022-07-02 22:34:33.463538,0 days 00:00:08.140536,8.1,0.5217234053269032,55,21465354,l1,7.224825252761547e-05,COMPLETE
643,0.9616349602383671,2022-07-02 22:21:39.213903,2022-07-02 22:21:47.476495,0 days 00:00:08.262592,6.1,0.5412529511165499,71,48927381,l1,1.96933289272489e-05,COMPLETE
810,0.9616349602383671,2022-07-02 22:40:16.210129,2022-07-02 22:40:24.563776,0 days 00:00:08.353647,6.7,0.003388145112166091,115,23234845,l1,8.163974872129752e-05,COMPLETE
215,0.9616349602383671,2022-07-02 21:35:50.158706,2022-07-02 21:35:57.555471,0 days 00:00:07.396765,7.1,0.017036126617966777,359,4744540,l1,0.0020910081057812628,COMPLETE
742,0.9616349602383671,2022-07-02 22:32:51.877067,2022-07-02 22:32:59.774228,0 days 00:00:07.897161,6.8,0.6856829965134418,445,24475069,l1,0.00018744366097007398,COMPLETE
877,0.9616349602383671,2022-07-02 22:47:48.836616,2022-07-02 22:47:56.676723,0 days 00:00:07.840107,6.5,0.0828336906936351,451,2312634,l1,0.0016537186693739749,COMPLETE
827,0.9616349602383671,2022-07-02 22:42:12.894337,2022-07-02 22:42:20.543733,0 days 00:00:07.649396,6.5,0.09904613957363367,244,39556092,l1,0.0021064795546886987,COMPLETE
522,0.9616349602383671,2022-07-02 22:08:51.142056,2022-07-02 22:08:58.677139,0 days 00:00:07.535083,4.7,0.8477686472248096,473,13907315,l1,0.002071094899090669,COMPLETE
855,0.9616349602383671,2022-07-02 22:45:17.040966,2022-07-02 22:45:24.786829,0 days 00:00:07.745863,7.0,0.7593585192873544,436,26253116,l1,0.0019698569987260097,COMPLETE
437,0.9616349602383671,2022-07-02 21:59:44.756026,2022-07-02 21:59:52.734080,0 days 00:00:07.978054,6.0,0.7819438233878659,408,12422031,l1,5.3164760162641026e-05,COMPLETE
724,0.9616349602383671,2022-07-02 22:30:58.191629,2022-07-02 22:31:05.843958,0 days 00:00:07.652329,4.3,0.8610073105427634,259,21327185,l1,0.0018891679854760944,COMPLETE
583,0.9616349602383671,2022-07-02 22:15:07.072480,2022-07-02 22:15:14.663616,0 days 00:00:07.591136,4.5,0.801206639775703,445,29176325,l1,0.001792727851783577,COMPLETE
904,0.9616349602383671,2022-07-02 22:50:38.235453,2022-07-02 22:50:46.963299,0 days 00:00:08.727846,6.2,0.06644437858466622,455,34912371,l1,1.2422786491021829e-05,COMPLETE
145,0.9616349602383671,2022-07-02 21:28:12.190406,2022-07-02 21:28:20.091124,0 days 00:00:07.900718,3.5000000000000004,0.1767858633178661,164,13818423,l1,0.00016676364498229707,COMPLETE
235,0.9616345018137449,2022-07-02 21:38:11.105548,2022-07-02 21:38:18.596447,0 days 00:00:07.490899,0.1,0.00492025137269738,124,29977572,l1,0.0016469649323177322,COMPLETE
61,0.9616344002774936,2022-07-02 21:19:57.882959,2022-07-02 21:20:05.157755,0 days 00:00:07.274796,0.8,0.1334006209150908,439,2169654,l1,0.002086557550197214,COMPLETE
291,0.9616328221556563,2022-07-02 21:44:21.953743,2022-07-02 21:44:29.865102,0 days 00:00:07.911359,0.8,0.10711502871141138,100,33688840,l1,5.857348603307854e-05,COMPLETE
333,0.9616328221556563,2022-07-02 21:48:43.464738,2022-07-02 21:48:51.623644,0 days 00:00:08.158906,0.8,0.884564460154757,473,28447181,l1,0.00014088824315346745,COMPLETE
374,0.9616325421706063,2022-07-02 21:52:47.701132,2022-07-02 21:52:55.149091,0 days 00:00:07.447959,0.8,0.2149556745507053,138,32216875,l1,0.002169597319007264,COMPLETE
310,0.9616325421706063,2022-07-02 21:46:22.354240,2022-07-02 21:46:30.186058,0 days 00:00:07.831818,0.8,0.565381968915315,120,25567790,l1,0.0017805254499470968,COMPLETE
661,0.9616325421706063,2022-07-02 22:23:44.542094,2022-07-02 22:23:52.669453,0 days 00:00:08.127359,0.8,0.566225591385005,414,24326090,l1,0.00011988520603073254,COMPLETE
826,0.9616325421706063,2022-07-02 22:42:04.635723,2022-07-02 22:42:12.893669,0 days 00:00:08.257946,0.8,0.04017525694200273,131,2316011,l1,0.00022553580737646613,COMPLETE
700,0.9616306840865664,2022-07-02 22:28:12.775293,2022-07-02 22:28:21.414269,0 days 00:00:08.638976,0.7000000000000001,0.018163451611113293,66,23553818,l1,2.387309144852583e-05,COMPLETE
894,0.9616304040908983,2022-07-02 22:49:32.058464,2022-07-02 22:49:40.365549,0 days 00:00:08.307085,0.5,0.14402230897232646,478,4222691,l1,0.00011458455543800618,COMPLETE
320,0.9616304040908983,2022-07-02 21:47:31.966347,2022-07-02 21:47:39.619784,0 days 00:00:07.653437,0.5,0.08243478953384903,106,30616616,l1,0.0017870108618537716,COMPLETE
