iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
203,0.9330842848094522,2022-07-02 23:35:46.858266,2022-07-02 23:35:48.315606,0 days 00:00:01.457340,6.3,0.9930028042061066,250.0,15966104.0,l1,0.03674694202567459,COMPLETE
202,0.9330842848094522,2022-07-02 23:35:45.400632,2022-07-02 23:35:46.857919,0 days 00:00:01.457287,6.3,0.9998105126066105,248.0,16004996.0,l1,0.03635949556039641,COMPLETE
548,0.9330842848094522,2022-07-02 23:45:09.950372,2022-07-02 23:45:11.567896,0 days 00:00:01.617524,9.1,0.11912234602388956,353.0,11681259.0,l1,0.036840962883668164,COMPLETE
770,0.9330842848094522,2022-07-02 23:51:43.618497,2022-07-02 23:51:45.332101,0 days 00:00:01.713604,9.2,0.05223610158491472,264.0,48376869.0,l1,0.036395546262680066,COMPLETE
194,0.9330842848094522,2022-07-02 23:35:34.244757,2022-07-02 23:35:35.698102,0 days 00:00:01.453345,6.3,0.994784264893988,217.0,16089480.0,l1,0.036916786123543835,COMPLETE
764,0.9330842848094522,2022-07-02 23:51:31.402225,2022-07-02 23:51:33.397726,0 days 00:00:01.995501,9.5,0.00017072840685688692,305.0,5304518.0,l1,0.0362555653737867,COMPLETE
188,0.9330842848094522,2022-07-02 23:35:25.301154,2022-07-02 23:35:26.751871,0 days 00:00:01.450717,6.1,0.8644806034621386,105.0,16232661.0,l1,0.03729867609574353,COMPLETE
183,0.9330842848094522,2022-07-02 23:35:17.637964,2022-07-02 23:35:19.076529,0 days 00:00:01.438565,6.1,0.8243851315437725,175.0,16393017.0,l1,0.036735104874832475,COMPLETE
173,0.9330842848094522,2022-07-02 23:35:02.756939,2022-07-02 23:35:04.197163,0 days 00:00:01.440224,5.4,0.7527160558456998,189.0,12688338.0,l1,0.03697999208336165,COMPLETE
172,0.9330842848094522,2022-07-02 23:35:01.313389,2022-07-02 23:35:02.756650,0 days 00:00:01.443261,6.1,0.9479066681872427,181.0,12844983.0,l1,0.03632630304305214,COMPLETE
169,0.9330842848094522,2022-07-02 23:34:57.916257,2022-07-02 23:34:59.365757,0 days 00:00:01.449500,5.4,0.9568414804962921,181.0,14754365.0,l1,0.03713676192507414,COMPLETE
166,0.9330842848094522,2022-07-02 23:34:53.419585,2022-07-02 23:34:54.879169,0 days 00:00:01.459584,6.1,0.7972463345796207,190.0,14574140.0,l1,0.03675879917422431,COMPLETE
159,0.9330842848094522,2022-07-02 23:34:43.385134,2022-07-02 23:34:44.817208,0 days 00:00:01.432074,5.0,0.8142321981914312,210.0,16663144.0,l1,0.03717729497402646,COMPLETE
157,0.9330842848094522,2022-07-02 23:34:40.523788,2022-07-02 23:34:41.953780,0 days 00:00:01.429992,5.5,0.8093059055377706,91.0,17825248.0,l1,0.036441770304233546,COMPLETE
928,0.9330842848094522,2022-07-02 23:56:44.905714,2022-07-02 23:56:46.703453,0 days 00:00:01.797739,9.8,0.5008043773692522,88.0,33730574.0,l1,0.03604891456708408,COMPLETE
147,0.9330842848094522,2022-07-02 23:34:20.400618,2022-07-02 23:34:21.832421,0 days 00:00:01.431803,6.7,0.9977292911821587,130.0,17346745.0,l1,0.036546722164493395,COMPLETE
931,0.9330842848094522,2022-07-02 23:56:49.357238,2022-07-02 23:56:51.426594,0 days 00:00:02.069356,7.0,0.10928257745912426,231.0,18791807.0,l1,0.0372485324179967,COMPLETE
270,0.9330842848094522,2022-07-02 23:37:26.085244,2022-07-02 23:37:27.579861,0 days 00:00:01.494617,9.8,0.07823500356600535,185.0,13055331.0,l1,0.03684279219964083,COMPLETE
