iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
875,0.9313637272905788,2022-06-12 18:22:47.645235,2022-06-12 18:22:48.361896,0 days 00:00:00.716661,0.3089225583437708,3380675,random,0.08025314942014493,COMPLETE
773,0.9313622943411628,2022-06-12 18:21:31.053709,2022-06-12 18:21:31.721690,0 days 00:00:00.667981,0.30686992934967117,1203506,random,0.09433768408033037,COMPLETE
249,0.9313607517257676,2022-06-12 18:16:02.543268,2022-06-12 18:16:03.093087,0 days 00:00:00.549819,0.3040297916464937,2163177,random,0.07193307435468918,COMPLETE
173,0.9313584341568318,2022-06-12 18:15:22.063859,2022-06-12 18:15:22.591507,0 days 00:00:00.527648,0.3073513942902407,760734,random,0.08507081403675974,COMPLETE
207,0.931358105158894,2022-06-12 18:15:39.777718,2022-06-12 18:15:40.314515,0 days 00:00:00.536797,0.3038011895990611,549414,random,0.07438472170985466,COMPLETE
321,0.931354573972501,2022-06-12 18:16:43.217793,2022-06-12 18:16:43.792697,0 days 00:00:00.574904,0.30911234536809823,3360279,random,0.06849393892768937,COMPLETE
629,0.9313492808387541,2022-06-12 18:19:55.204539,2022-06-12 18:19:56.120505,0 days 00:00:00.915966,0.3074277482540866,3190388,random,0.07941568607311775,COMPLETE
993,0.9313491711727747,2022-06-12 18:24:18.083405,2022-06-12 18:24:18.827083,0 days 00:00:00.743678,0.3057970595252967,2124139,random,0.0718486294273191,COMPLETE
341,0.9313412314721544,2022-06-12 18:16:54.923655,2022-06-12 18:16:55.510823,0 days 00:00:00.587168,0.30490062430118764,5874026,random,0.07672009921489618,COMPLETE
466,0.9313373712878236,2022-06-12 18:18:11.019847,2022-06-12 18:18:11.627111,0 days 00:00:00.607264,0.3056633446870241,2043592,random,0.06908070548611157,COMPLETE
410,0.9313360480043869,2022-06-12 18:17:36.432650,2022-06-12 18:17:37.019124,0 days 00:00:00.586474,0.30554846771456673,6155392,random,0.09793921445452937,COMPLETE
