iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
322,0.980779471098087,2022-06-13 23:03:44.044035,2022-06-13 23:03:44.658621,0 days 00:00:00.614586,1.9979111479037572,9616378.0,random,0.08013639822316582,COMPLETE
317,0.980779471098087,2022-06-13 23:03:40.550886,2022-06-13 23:03:41.185274,0 days 00:00:00.634388,1.9522730558214427,7271085.0,random,0.08376445019253322,COMPLETE
315,0.980779471098087,2022-06-13 23:03:39.274847,2022-06-13 23:03:39.909704,0 days 00:00:00.634857,1.9263128143568082,8994765.0,random,0.07063706641546647,COMPLETE
306,0.980779471098087,2022-06-13 23:03:33.416663,2022-06-13 23:03:34.051064,0 days 00:00:00.634401,1.9993353879565747,7646388.0,random,0.08809475037113305,COMPLETE
298,0.980779471098087,2022-06-13 23:03:28.299930,2022-06-13 23:03:28.932410,0 days 00:00:00.632480,1.9219899484465275,7300180.0,random,0.0721281436632105,COMPLETE
552,0.980779471098087,2022-06-13 23:06:24.538736,2022-06-13 23:06:25.256057,0 days 00:00:00.717321,1.9936884190101025,7057524.0,random,0.06801025288045644,COMPLETE
567,0.980779471098087,2022-06-13 23:06:35.690231,2022-06-13 23:06:36.400645,0 days 00:00:00.710414,1.9285636749291366,7877221.0,random,0.05264534389705843,COMPLETE
217,0.980779471098087,2022-06-13 23:02:37.809821,2022-06-13 23:02:38.425402,0 days 00:00:00.615581,1.9526310302277408,9149556.0,random,0.07352494940749388,COMPLETE
797,0.980779471098087,2022-06-13 23:09:36.833565,2022-06-13 23:09:37.632431,0 days 00:00:00.798866,1.9270496578228837,9199646.0,random,0.07691813760273311,COMPLETE
830,0.980779471098087,2022-06-13 23:10:04.289670,2022-06-13 23:10:05.097856,0 days 00:00:00.808186,1.916891227265226,8897072.0,random,0.07289803903912276,COMPLETE
827,0.980779471098087,2022-06-13 23:10:01.846934,2022-06-13 23:10:02.655856,0 days 00:00:00.808922,1.9990886334610176,4580142.0,random,0.07075698937296272,COMPLETE
945,0.980779471098087,2022-06-13 23:11:43.646803,2022-06-13 23:11:44.515715,0 days 00:00:00.868912,1.9970732533509379,7649462.0,random,0.09694910158661765,COMPLETE
822,0.980779471098087,2022-06-13 23:09:57.515644,2022-06-13 23:09:58.307061,0 days 00:00:00.791417,1.9976504082248208,7944092.0,random,0.07595488902239982,COMPLETE
821,0.980779471098087,2022-06-13 23:09:56.682839,2022-06-13 23:09:57.515043,0 days 00:00:00.832204,1.9977512569050717,7923608.0,random,0.07645351507188997,COMPLETE
814,0.980779471098087,2022-06-13 23:09:51.081087,2022-06-13 23:09:51.852922,0 days 00:00:00.771835,1.9978249098838246,5516537.0,random,0.07414129275045483,COMPLETE
812,0.980779471098087,2022-06-13 23:09:49.227176,2022-06-13 23:09:50.021858,0 days 00:00:00.794682,1.9268016702621156,261110.0,random,0.09140762038823559,COMPLETE
946,0.980779471098087,2022-06-13 23:11:44.516397,2022-06-13 23:11:45.615349,0 days 00:00:01.098952,1.9470505164398249,1337886.0,random,0.05829608769984209,COMPLETE
810,0.980779471098087,2022-06-13 23:09:47.583344,2022-06-13 23:09:48.403232,0 days 00:00:00.819888,1.998020016693469,9773379.0,random,0.04548627814125651,COMPLETE
809,0.980779471098087,2022-06-13 23:09:46.773149,2022-06-13 23:09:47.582728,0 days 00:00:00.809579,1.9960573001760076,9412051.0,random,0.04514948962565227,COMPLETE
800,0.980779471098087,2022-06-13 23:09:39.235475,2022-06-13 23:09:40.033513,0 days 00:00:00.798038,1.9966767458075667,7777541.0,random,0.07007546895797286,COMPLETE
795,0.980779471098087,2022-06-13 23:09:35.250229,2022-06-13 23:09:36.040762,0 days 00:00:00.790533,1.9178598384345547,5380051.0,random,0.08995524840586264,COMPLETE
569,0.980779471098087,2022-06-13 23:06:37.132758,2022-06-13 23:06:37.854796,0 days 00:00:00.722038,1.9990559840598117,2031260.0,random,0.08253246277911691,COMPLETE
792,0.980779471098087,2022-06-13 23:09:32.850118,2022-06-13 23:09:33.655343,0 days 00:00:00.805225,1.9464393781642007,7053366.0,random,0.08625161428201182,COMPLETE
786,0.980779471098087,2022-06-13 23:09:27.299848,2022-06-13 23:09:28.089825,0 days 00:00:00.789977,1.9989832939122296,8768748.0,random,0.0734998839624344,COMPLETE
782,0.980779471098087,2022-06-13 23:09:24.054076,2022-06-13 23:09:24.846439,0 days 00:00:00.792363,1.9999879487568273,2866527.0,random,0.07855451169703838,COMPLETE
777,0.980779471098087,2022-06-13 23:09:19.830550,2022-06-13 23:09:20.632169,0 days 00:00:00.801619,1.9513286646685022,8761872.0,random,0.07967365276621301,COMPLETE
769,0.980779471098087,2022-06-13 23:09:13.519818,2022-06-13 23:09:14.293628,0 days 00:00:00.773810,1.9992895001092832,2500436.0,random,0.0813692460089073,COMPLETE
766,0.980779471098087,2022-06-13 23:09:10.851464,2022-06-13 23:09:11.645258,0 days 00:00:00.793794,1.9989612561909404,8100416.0,random,0.07932917773587637,COMPLETE
950,0.980779471098087,2022-06-13 23:11:48.206905,2022-06-13 23:11:49.053314,0 days 00:00:00.846409,1.9959162267623065,3907992.0,random,0.07769288223002797,COMPLETE
757,0.980779471098087,2022-06-13 23:09:03.773331,2022-06-13 23:09:04.540064,0 days 00:00:00.766733,1.927718174668754,8002456.0,random,0.09452063863078468,COMPLETE
756,0.980779471098087,2022-06-13 23:09:02.713173,2022-06-13 23:09:03.772775,0 days 00:00:01.059602,1.9283197766459375,4741230.0,random,0.0932151680213872,COMPLETE
755,0.980779471098087,2022-06-13 23:09:01.933180,2022-06-13 23:09:02.712431,0 days 00:00:00.779251,1.998322367237033,3164994.0,random,0.09902795763877248,COMPLETE
753,0.980779471098087,2022-06-13 23:09:00.374782,2022-06-13 23:09:01.156243,0 days 00:00:00.781461,1.996388906993459,8573633.0,random,0.07413651494035563,COMPLETE
840,0.980779471098087,2022-06-13 23:10:12.783964,2022-06-13 23:10:13.592909,0 days 00:00:00.808945,1.923408739799371,9362646.0,random,0.08030301133313399,COMPLETE
843,0.980779471098087,2022-06-13 23:10:15.289026,2022-06-13 23:10:16.101740,0 days 00:00:00.812714,1.921938167967881,7915079.0,random,0.09633249733380833,COMPLETE
944,0.980779471098087,2022-06-13 23:11:42.787280,2022-06-13 23:11:43.646081,0 days 00:00:00.858801,1.998326583294747,7490525.0,random,0.08065509024582561,COMPLETE
848,0.980779471098087,2022-06-13 23:10:19.768854,2022-06-13 23:10:20.581210,0 days 00:00:00.812356,1.9981317607056714,205278.0,random,0.06914008296712892,COMPLETE
937,0.980779471098087,2022-06-13 23:11:36.574518,2022-06-13 23:11:37.648920,0 days 00:00:01.074402,1.9967637969288952,3615261.0,random,0.07243544412905971,COMPLETE
936,0.980779471098087,2022-06-13 23:11:35.722027,2022-06-13 23:11:36.573882,0 days 00:00:00.851855,1.9149259180303762,7731509.0,random,0.06878420439855822,COMPLETE
935,0.980779471098087,2022-06-13 23:11:34.881332,2022-06-13 23:11:35.721313,0 days 00:00:00.839981,1.9933971845421425,5269533.0,random,0.09717769583054893,COMPLETE
941,0.980779471098087,2022-06-13 23:11:40.272047,2022-06-13 23:11:41.104819,0 days 00:00:00.832772,1.9262119025229416,7553991.0,random,0.07192197403370064,COMPLETE
