iteration,recall,datetime_start,datetime_complete,duration,alpha,solver,state
698,0.8570251716247139,2022-06-12 16:02:21.753042,2022-06-12 16:02:22.705998,0 days 00:00:00.952956,9.465350197202852,svd,COMPLETE
519,0.8570251716247139,2022-06-12 15:59:35.653854,2022-06-12 15:59:36.577100,0 days 00:00:00.923246,8.236178328601868,svd,COMPLETE
699,0.8570251716247139,2022-06-12 16:02:22.706553,2022-06-12 16:02:23.661027,0 days 00:00:00.954474,1.360688976680533,svd,COMPLETE
700,0.8570251716247139,2022-06-12 16:02:23.661593,2022-06-12 16:02:24.618725,0 days 00:00:00.957132,9.64213029581931,svd,COMPLETE
701,0.8570251716247139,2022-06-12 16:02:24.619304,2022-06-12 16:02:25.577486,0 days 00:00:00.958182,9.485371413831471,svd,COMPLETE
702,0.8570251716247139,2022-06-12 16:02:25.578070,2022-06-12 16:02:26.821126,0 days 00:00:01.243056,1.3517185635908944,svd,COMPLETE
691,0.8570251716247139,2022-06-12 16:02:15.036565,2022-06-12 16:02:15.988026,0 days 00:00:00.951461,9.690794680968205,svd,COMPLETE
703,0.8570251716247139,2022-06-12 16:02:26.821676,2022-06-12 16:02:27.768873,0 days 00:00:00.947197,1.4951471667230778,svd,COMPLETE
705,0.8570251716247139,2022-06-12 16:02:28.722936,2022-06-12 16:02:29.678381,0 days 00:00:00.955445,1.096760504678067,svd,COMPLETE
706,0.8570251716247139,2022-06-12 16:02:29.678987,2022-06-12 16:02:30.630368,0 days 00:00:00.951381,1.2146597818288825,svd,COMPLETE
708,0.8570251716247139,2022-06-12 16:02:31.238625,2022-06-12 16:02:32.192878,0 days 00:00:00.954253,1.0001528650784381,svd,COMPLETE
709,0.8570251716247139,2022-06-12 16:02:32.193458,2022-06-12 16:02:33.150027,0 days 00:00:00.956569,1.0859832837605392,svd,COMPLETE
710,0.8570251716247139,2022-06-12 16:02:33.150576,2022-06-12 16:02:34.104416,0 days 00:00:00.953840,0.7046328917467541,svd,COMPLETE
711,0.8570251716247139,2022-06-12 16:02:34.105014,2022-06-12 16:02:35.060958,0 days 00:00:00.955944,9.935423038456943,svd,COMPLETE
712,0.8570251716247139,2022-06-12 16:02:35.061545,2022-06-12 16:02:36.016432,0 days 00:00:00.954887,1.39224900188854,svd,COMPLETE
713,0.8570251716247139,2022-06-12 16:02:36.017017,2022-06-12 16:02:36.981601,0 days 00:00:00.964584,9.175568794413914,svd,COMPLETE
714,0.8570251716247139,2022-06-12 16:02:36.982257,2022-06-12 16:02:37.938120,0 days 00:00:00.955863,1.114667021111413,svd,COMPLETE
715,0.8570251716247139,2022-06-12 16:02:37.938676,2022-06-12 16:02:38.892523,0 days 00:00:00.953847,0.948973171583031,svd,COMPLETE
716,0.8570251716247139,2022-06-12 16:02:38.893096,2022-06-12 16:02:39.845444,0 days 00:00:00.952348,1.5947153002123517,svd,COMPLETE
704,0.8570251716247139,2022-06-12 16:02:27.769428,2022-06-12 16:02:28.722362,0 days 00:00:00.952934,1.5147140849653347,svd,COMPLETE
648,0.8570251716247139,2022-06-12 16:01:34.678822,2022-06-12 16:01:35.624725,0 days 00:00:00.945903,7.343361171073757,svd,COMPLETE
529,0.8570251716247139,2022-06-12 15:59:44.866796,2022-06-12 15:59:45.807189,0 days 00:00:00.940393,4.463961244966557,svd,COMPLETE
646,0.8570251716247139,2022-06-12 16:01:32.800822,2022-06-12 16:01:33.741249,0 days 00:00:00.940427,6.563779904425648,svd,COMPLETE
573,0.8570251716247139,2022-06-12 16:00:25.350260,2022-06-12 16:00:26.261420,0 days 00:00:00.911160,3.7937828963848217,svd,COMPLETE
574,0.8570251716247139,2022-06-12 16:00:26.261925,2022-06-12 16:00:27.205933,0 days 00:00:00.944008,4.1410656257878085,svd,COMPLETE
