iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
727,0.8853484027841738,2022-07-03 01:21:55.979093,2022-07-03 01:21:58.146768,0 days 00:00:02.167675,4.8,0.17668006278732012,480,23206744,l1,0.005353178266046734,COMPLETE
412,0.8850567390991846,2022-07-03 01:07:46.943465,2022-07-03 01:07:49.406102,0 days 00:00:02.462637,8.1,0.45356999711867096,353,41978114,l1,0.011210101953622523,COMPLETE
493,0.8849382945847681,2022-07-03 01:11:03.199608,2022-07-03 01:11:06.642342,0 days 00:00:03.442734,9.1,0.3564255086322028,393,37883788,l1,0.0025680883618014005,COMPLETE
542,0.8847767297561375,2022-07-03 01:13:33.020878,2022-07-03 01:13:35.711411,0 days 00:00:02.690533,9.9,0.32172414755978823,386,10000344,l1,0.001982531129814778,COMPLETE
941,0.8846621232602973,2022-07-03 01:31:21.839897,2022-07-03 01:31:24.339753,0 days 00:00:02.499856,9.3,0.29051675786729503,486,6302655,l1,0.004975987002514056,COMPLETE
939,0.8844534612661554,2022-07-03 01:31:16.514094,2022-07-03 01:31:19.449645,0 days 00:00:02.935551,4.3999999999999995,0.36268854092729413,492,5567727,l1,0.0019044127657153714,COMPLETE
585,0.8844118911497205,2022-07-03 01:15:52.675762,2022-07-03 01:15:55.076494,0 days 00:00:02.400732,9.0,0.32101932219050755,363,9240893,l1,0.005972745911088583,COMPLETE
792,0.8844000912647693,2022-07-03 01:24:53.774797,2022-07-03 01:24:56.273268,0 days 00:00:02.498471,9.0,0.4257783302847679,343,10186773,l1,0.004892865426270241,COMPLETE
763,0.884368771126205,2022-07-03 01:23:23.126315,2022-07-03 01:23:26.081305,0 days 00:00:02.954990,7.0,0.48988086678473064,381,8582172,l1,0.002376905857873216,COMPLETE
750,0.8843517355688947,2022-07-03 01:22:49.709712,2022-07-03 01:22:52.090436,0 days 00:00:02.380724,8.0,0.22458639177528497,385,11451795,l1,0.001810893676605511,COMPLETE
594,0.8836983637118836,2022-07-03 01:16:12.650729,2022-07-03 01:16:17.540882,0 days 00:00:04.890153,9.700000000000001,0.3383287491734431,375,7039177,l1,0.002006533387259885,COMPLETE
579,0.8836297723051323,2022-07-03 01:15:28.526570,2022-07-03 01:15:33.144605,0 days 00:00:04.618035,9.1,0.28167087564829,398,10532863,l1,0.00013190268785768413,COMPLETE
945,0.8835291954722558,2022-07-03 01:31:31.097020,2022-07-03 01:31:33.925762,0 days 00:00:02.828742,9.4,0.34650319023303594,482,22508959,l1,0.009949658503580596,COMPLETE
388,0.8835043820848959,2022-07-03 01:06:52.889946,2022-07-03 01:06:55.789540,0 days 00:00:02.899594,9.4,0.44147057497721626,66,6942864,l1,0.0058672724509762466,COMPLETE
401,0.8834932401958203,2022-07-03 01:07:22.522765,2022-07-03 01:07:25.182536,0 days 00:00:02.659771,8.9,0.41704036274620854,58,7256137,l1,0.0041415948272814675,COMPLETE
653,0.8831629309174098,2022-07-03 01:18:46.310860,2022-07-03 01:18:49.595006,0 days 00:00:03.284146,7.2,0.20972963652716883,473,18385150,l1,1.3710935363175913e-05,COMPLETE
310,0.8819618285114782,2022-07-03 01:04:07.293738,2022-07-03 01:04:09.619972,0 days 00:00:02.326234,1.5000000000000002,0.8189137109383634,96,3523497,l1,0.011214109533587244,COMPLETE
366,0.8815554708304242,2022-07-03 01:06:03.983025,2022-07-03 01:06:06.310201,0 days 00:00:02.327176,0.4,0.4133379150746744,58,6933103,l1,0.007040110358869084,COMPLETE
623,0.881151116594437,2022-07-03 01:17:27.425425,2022-07-03 01:17:30.372512,0 days 00:00:02.947087,6.6,0.3802624683518964,468,4874674,l1,0.005995114487766301,COMPLETE
440,0.88111704022302,2022-07-03 01:09:03.444431,2022-07-03 01:09:05.929963,0 days 00:00:02.485532,9.2,0.3990572007597398,416,40213556,l1,0.0025729544238763404,COMPLETE
722,0.880467819927057,2022-07-03 01:21:44.336521,2022-07-03 01:21:47.656903,0 days 00:00:03.320382,7.6,0.14692946062052303,464,15244734,l1,0.0018760907448705543,COMPLETE
