iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
215,0.8711824010013204,2022-06-11 12:38:25.499748,2022-06-11 12:39:39.406866,0 days 00:01:13.907118,46.0,500.0,137.0,8.0,176.0,269.0,COMPLETE
259,0.8711539540532736,2022-06-11 13:36:21.744174,2022-06-11 13:37:38.239717,0 days 00:01:16.495543,44.0,490.0,150.0,7.0,218.0,276.0,COMPLETE
34,0.8711425928322393,2022-06-11 08:22:46.382829,2022-06-11 08:24:14.069884,0 days 00:01:27.687055,40.0,500.0,106.0,5.0,493.0,301.0,COMPLETE
250,0.871140384929283,2022-06-11 13:24:39.095860,2022-06-11 13:26:03.236740,0 days 00:01:24.140880,40.0,486.0,137.0,10.0,213.0,299.0,COMPLETE
157,0.8711223049167713,2022-06-11 11:19:45.300998,2022-06-11 11:21:01.464178,0 days 00:01:16.163180,46.0,488.0,147.0,9.0,234.0,273.0,COMPLETE
212,0.8711128226007557,2022-06-11 12:34:37.307248,2022-06-11 12:35:53.545365,0 days 00:01:16.238117,45.0,485.0,132.0,8.0,172.0,275.0,COMPLETE
4,0.8710923080616437,2022-06-11 07:27:24.295038,2022-06-11 07:28:46.575796,0 days 00:01:22.280758,48.0,471.0,124.0,16.0,310.0,292.0,COMPLETE
161,0.8710891131648739,2022-06-11 11:24:41.068883,2022-06-11 11:25:59.204357,0 days 00:01:18.135474,48.0,490.0,142.0,8.0,201.0,277.0,COMPLETE
138,0.8710856916444601,2022-06-11 10:55:12.681357,2022-06-11 10:56:35.105777,0 days 00:01:22.424420,48.0,487.0,129.0,7.0,269.0,289.0,COMPLETE
147,0.8710740014254882,2022-06-11 11:07:00.186894,2022-06-11 11:08:13.439041,0 days 00:01:13.252147,50.0,493.0,144.0,10.0,175.0,261.0,COMPLETE
192,0.8710660617248678,2022-06-11 12:07:16.237805,2022-06-11 12:08:32.952869,0 days 00:01:16.715064,49.0,490.0,145.0,8.0,179.0,273.0,COMPLETE
238,0.8709422141200266,2022-06-11 13:09:04.465309,2022-06-11 13:10:21.322398,0 days 00:01:16.857089,38.0,495.0,146.0,10.0,209.0,272.0,COMPLETE
203,0.8709417754561095,2022-06-11 12:22:51.606048,2022-06-11 12:24:06.834664,0 days 00:01:15.228616,48.0,479.0,135.0,8.0,160.0,275.0,COMPLETE
296,0.870934603417344,2022-06-11 14:30:35.378105,2022-06-11 14:31:48.938357,0 days 00:01:13.560252,40.0,483.0,145.0,29.0,189.0,261.0,COMPLETE
160,0.8709175103986458,2022-06-11 11:23:20.470117,2022-06-11 11:24:41.068673,0 days 00:01:20.598556,50.0,479.0,150.0,8.0,243.0,284.0,COMPLETE
42,0.8708752677029646,2022-06-11 08:38:17.188385,2022-06-11 08:39:56.417570,0 days 00:01:39.229185,32.0,499.0,80.0,5.0,449.0,344.0,COMPLETE
144,0.8708490286578741,2022-06-11 11:03:15.401999,2022-06-11 11:04:25.873150,0 days 00:01:10.471151,48.0,495.0,140.0,6.0,194.0,253.0,COMPLETE
280,0.8708258675518885,2022-06-11 14:07:31.740092,2022-06-11 14:08:58.032475,0 days 00:01:26.292383,38.0,500.0,144.0,5.0,191.0,307.0,COMPLETE
