iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
213,0.9645953412563368,2022-06-11 03:02:44.731848,2022-06-11 03:04:07.638708,0 days 00:01:22.906860,32,495,145,13,171,296,COMPLETE
89,0.9645805928451672,2022-06-11 00:15:54.663463,2022-06-11 00:17:21.537825,0 days 00:01:26.874362,28,500,97,4,198,315,COMPLETE
154,0.9645798814059136,2022-06-11 01:47:22.086835,2022-06-11 01:48:34.205667,0 days 00:01:12.118832,17,500,64,14,177,256,COMPLETE
244,0.9645548786094708,2022-06-11 03:46:51.095030,2022-06-11 03:48:07.023526,0 days 00:01:15.928496,46,483,73,9,386,268,COMPLETE
46,0.9645474049185682,2022-06-10 23:14:41.867507,2022-06-10 23:15:59.167325,0 days 00:01:17.299818,29,458,141,5,144,284,COMPLETE
245,0.9645458195592322,2022-06-11 03:48:07.023871,2022-06-11 03:49:29.893134,0 days 00:01:22.869263,46,496,144,15,378,291,COMPLETE
61,0.9645455664430891,2022-06-10 23:37:47.632913,2022-06-10 23:39:05.905845,0 days 00:01:18.272932,32,500,93,3,159,281,COMPLETE
252,0.9645455165474716,2022-06-11 03:57:09.108018,2022-06-11 03:58:36.081133,0 days 00:01:26.973115,43,486,147,18,291,302,COMPLETE
259,0.9645406275515309,2022-06-11 04:06:11.333346,2022-06-11 04:07:21.123696,0 days 00:01:09.790350,27,490,148,9,146,252,COMPLETE
267,0.9645388430172552,2022-06-11 04:16:26.098137,2022-06-11 04:17:41.773301,0 days 00:01:15.675164,25,485,138,29,165,271,COMPLETE
91,0.9645325512482444,2022-06-11 00:18:48.355808,2022-06-11 00:20:24.072255,0 days 00:01:35.716447,27,500,90,25,220,345,COMPLETE
72,0.9645319720322375,2022-06-10 23:52:30.090523,2022-06-10 23:53:59.784830,0 days 00:01:29.694307,32,499,86,4,175,322,COMPLETE
163,0.964526647739893,2022-06-11 01:58:46.264991,2022-06-11 01:59:57.810569,0 days 00:01:11.545578,21,495,81,12,128,266,COMPLETE
261,0.9645130016239721,2022-06-11 04:08:38.429268,2022-06-11 04:09:56.162233,0 days 00:01:17.732965,26,500,144,13,164,279,COMPLETE
214,0.9645011661303031,2022-06-11 03:04:07.638956,2022-06-11 03:05:29.604751,0 days 00:01:21.965795,33,500,142,13,165,294,COMPLETE
68,0.964500500135394,2022-06-10 23:47:27.776021,2022-06-10 23:48:44.018609,0 days 00:01:16.242588,28,494,113,4,165,274,COMPLETE
65,0.964498529841265,2022-06-10 23:43:07.874904,2022-06-10 23:44:28.169352,0 days 00:01:20.294448,33,467,100,3,146,292,COMPLETE
168,0.9644953142827958,2022-06-11 02:05:01.665168,2022-06-11 02:06:17.944249,0 days 00:01:16.279081,41,490,62,9,128,284,COMPLETE
38,0.9644887603465021,2022-06-10 23:05:33.806314,2022-06-10 23:06:30.148363,0 days 00:00:56.342049,38,485,141,15,155,202,COMPLETE
161,0.9644802517413965,2022-06-11 01:56:09.529748,2022-06-11 01:57:29.900024,0 days 00:01:20.370276,20,489,76,11,131,290,COMPLETE
283,0.9644689911477227,2022-06-11 04:39:29.048665,2022-06-11 04:40:49.628801,0 days 00:01:20.580136,27,485,136,9,152,294,COMPLETE
124,0.9644686100356844,2022-06-11 01:08:01.542723,2022-06-11 01:09:29.059563,0 days 00:01:27.516840,23,495,87,18,170,318,COMPLETE
95,0.9644667585095488,2022-06-11 00:24:29.228234,2022-06-11 00:25:45.275507,0 days 00:01:16.047273,32,490,84,21,231,270,COMPLETE
71,0.9644660845576514,2022-06-10 23:51:13.312286,2022-06-10 23:52:30.090363,0 days 00:01:16.778077,32,497,93,3,160,280,COMPLETE
269,0.9644568054696223,2022-06-11 04:18:52.687331,2022-06-11 04:20:14.801105,0 days 00:01:22.113774,27,500,140,12,479,280,COMPLETE
150,0.9644541038718039,2022-06-11 01:42:03.271694,2022-06-11 01:43:21.041491,0 days 00:01:17.769797,37,479,70,9,189,277,COMPLETE
183,0.9644539787430721,2022-06-11 02:24:45.769211,2022-06-11 02:26:05.347851,0 days 00:01:19.578640,31,487,118,13,162,286,COMPLETE
281,0.964450261248914,2022-06-11 04:35:52.636342,2022-06-11 04:38:12.153967,0 days 00:02:19.517625,27,490,138,10,156,505,COMPLETE
253,0.964444400657331,2022-06-11 03:58:36.081479,2022-06-11 03:59:47.599471,0 days 00:01:11.517992,45,473,143,16,156,259,COMPLETE
177,0.9644407504288826,2022-06-11 02:16:46.680795,2022-06-11 02:18:16.837670,0 days 00:01:30.156875,20,490,108,12,147,326,COMPLETE
10,0.9644405241512879,2022-06-10 22:18:21.803267,2022-06-10 22:19:56.618551,0 days 00:01:34.815284,32,496,82,30,205,339,COMPLETE
139,0.9644397116872753,2022-06-11 01:28:13.950336,2022-06-11 01:29:27.792991,0 days 00:01:13.842655,27,489,68,10,160,270,COMPLETE
145,0.964438471571086,2022-06-11 01:36:00.773748,2022-06-11 01:37:22.644807,0 days 00:01:21.871059,30,500,62,12,153,294,COMPLETE
295,0.9644327437566756,2022-06-11 04:56:25.933957,2022-06-11 04:57:44.694625,0 days 00:01:18.760668,26,477,126,11,150,285,COMPLETE
81,0.9644311550713285,2022-06-11 00:04:18.555742,2022-06-11 00:05:38.107153,0 days 00:01:19.551411,31,491,83,3,161,286,COMPLETE
104,0.9644236274910707,2022-06-11 00:39:41.696048,2022-06-11 00:41:02.480015,0 days 00:01:20.783967,34,493,94,24,165,290,COMPLETE
200,0.9644201267460102,2022-06-11 02:44:57.482586,2022-06-11 02:46:04.937225,0 days 00:01:07.454639,27,500,126,14,176,245,COMPLETE
237,0.9644194566521969,2022-06-11 03:37:27.026503,2022-06-11 03:38:55.761865,0 days 00:01:28.735362,44,490,150,16,431,307,COMPLETE
296,0.9644184250624038,2022-06-11 04:57:44.694911,2022-06-11 04:58:51.472749,0 days 00:01:06.777838,28,483,131,10,144,243,COMPLETE
297,0.9644181505155881,2022-06-11 04:58:51.473079,2022-06-11 05:00:21.471321,0 days 00:01:29.998242,50,477,137,9,300,318,COMPLETE
30,0.9644124280671881,2022-06-10 22:53:27.751872,2022-06-10 22:55:01.460107,0 days 00:01:33.708235,32,484,108,23,156,342,COMPLETE
241,0.9644114150199651,2022-06-11 03:42:44.919620,2022-06-11 03:44:07.344043,0 days 00:01:22.424423,46,488,146,10,407,285,COMPLETE
144,0.9644092370997518,2022-06-11 01:34:42.651146,2022-06-11 01:36:00.773537,0 days 00:01:18.122391,31,495,73,13,164,282,COMPLETE
121,0.9644039878926184,2022-06-11 01:03:56.741986,2022-06-11 01:05:20.111565,0 days 00:01:23.369579,31,493,95,25,162,301,COMPLETE
222,0.9644038828990572,2022-06-11 03:16:24.219855,2022-06-11 03:17:47.758081,0 days 00:01:23.538226,47,477,142,15,401,290,COMPLETE
247,0.9643997144828527,2022-06-11 03:50:46.985780,2022-06-11 03:52:05.927497,0 days 00:01:18.941717,45,490,150,10,356,278,COMPLETE
248,0.9643817097486994,2022-06-11 03:52:05.927839,2022-06-11 03:53:22.552330,0 days 00:01:16.624491,44,495,147,11,337,266,COMPLETE
47,0.9643808543875302,2022-06-10 23:15:59.167492,2022-06-10 23:17:13.198474,0 days 00:01:14.030982,29,457,127,2,192,271,COMPLETE
236,0.9643773860756836,2022-06-11 03:36:03.128917,2022-06-11 03:37:27.026213,0 days 00:01:23.897296,45,484,150,12,453,289,COMPLETE
229,0.9643716121374681,2022-06-11 03:25:51.040124,2022-06-11 03:27:06.787148,0 days 00:01:15.747024,33,483,140,14,387,264,COMPLETE
231,0.9643711519988577,2022-06-11 03:28:25.941387,2022-06-11 03:30:47.719836,0 days 00:02:21.778449,33,494,146,14,461,489,COMPLETE
11,0.964365976160199,2022-06-10 22:19:56.618664,2022-06-10 22:21:32.067183,0 days 00:01:35.448519,33,500,83,30,205,341,COMPLETE
243,0.9643655050377141,2022-06-11 03:45:25.398451,2022-06-11 03:46:51.094654,0 days 00:01:25.696203,48,491,148,10,349,298,COMPLETE
157,0.9643641659223215,2022-06-11 01:51:10.514031,2022-06-11 01:52:23.996675,0 days 00:01:13.482644,19,479,59,13,149,265,COMPLETE
284,0.9643579368392848,2022-06-11 04:40:49.629139,2022-06-11 04:42:05.746346,0 days 00:01:16.117207,25,492,142,10,164,274,COMPLETE
138,0.9643551590015541,2022-06-11 01:26:13.883193,2022-06-11 01:28:13.950093,0 days 00:02:00.066900,24,481,67,12,143,436,COMPLETE
86,0.9643455604632866,2022-06-11 00:11:53.277661,2022-06-11 00:13:16.166599,0 days 00:01:22.888938,36,470,125,2,187,297,COMPLETE
