iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
6,0.9607090150856558,2022-06-10 19:18:44.785260,2022-06-10 19:20:10.415160,0 days 00:01:25.629900,16.0,208.0,79.0,29.0,136.0,331.0,COMPLETE
39,0.9604559081292834,2022-06-10 20:09:39.973587,2022-06-10 20:11:18.303100,0 days 00:01:38.329513,29.0,209.0,84.0,6.0,477.0,357.0,COMPLETE
87,0.9604383486404459,2022-06-10 21:25:09.215713,2022-06-10 21:26:38.161264,0 days 00:01:28.945551,30.0,217.0,50.0,3.0,396.0,332.0,COMPLETE
0,0.9603526835113132,2022-06-10 19:11:41.733746,2022-06-10 19:12:54.643521,0 days 00:01:12.909775,29.0,216.0,73.0,26.0,290.0,271.0,COMPLETE
26,0.9602301040314528,2022-06-10 19:50:11.921590,2022-06-10 19:52:16.553005,0 days 00:02:04.631415,26.0,230.0,82.0,10.0,339.0,458.0,COMPLETE
50,0.9598561533406349,2022-06-10 20:28:20.933654,2022-06-10 20:29:32.967024,0 days 00:01:12.033370,26.0,191.0,54.0,18.0,401.0,265.0,COMPLETE
70,0.9597786662059231,2022-06-10 20:59:30.677872,2022-06-10 21:01:29.950767,0 days 00:01:59.272895,29.0,172.0,94.0,8.0,347.0,447.0,COMPLETE
38,0.9597767364743869,2022-06-10 20:08:56.396190,2022-06-10 20:09:39.973467,0 days 00:00:43.577277,30.0,244.0,70.0,11.0,385.0,158.0,COMPLETE
17,0.9596670421824179,2022-06-10 19:34:36.828959,2022-06-10 19:36:36.052876,0 days 00:01:59.223917,21.0,186.0,68.0,6.0,369.0,444.0,COMPLETE
29,0.959507236435742,2022-06-10 19:55:41.629591,2022-06-10 19:56:40.941283,0 days 00:00:59.311692,29.0,223.0,74.0,6.0,290.0,220.0,COMPLETE
2,0.9594416913051245,2022-06-10 19:13:48.313949,2022-06-10 19:14:23.071375,0 days 00:00:34.757426,26.0,141.0,78.0,21.0,364.0,132.0,COMPLETE
40,0.9590642879728558,2022-06-10 20:11:18.303261,2022-06-10 20:12:43.404061,0 days 00:01:25.100800,30.0,156.0,95.0,12.0,467.0,316.0,COMPLETE
20,0.9587228454556185,2022-06-10 19:39:38.159890,2022-06-10 19:41:38.044602,0 days 00:01:59.884712,25.0,159.0,58.0,15.0,512.0,453.0,COMPLETE
14,0.9586796036945456,2022-06-10 19:28:57.574994,2022-06-10 19:30:46.669334,0 days 00:01:49.094340,27.0,180.0,60.0,7.0,345.0,408.0,COMPLETE
78,0.9584122440468832,2022-06-10 21:10:48.246158,2022-06-10 21:11:53.444521,0 days 00:01:05.198363,29.0,128.0,56.0,2.0,392.0,252.0,COMPLETE
5,0.9583141847480727,2022-06-10 19:16:35.594029,2022-06-10 19:18:44.785140,0 days 00:02:09.191111,16.0,126.0,49.0,22.0,221.0,498.0,COMPLETE
1,0.9581844174570137,2022-06-10 19:12:54.643728,2022-06-10 19:13:48.313838,0 days 00:00:53.670110,27.0,109.0,35.0,14.0,497.0,203.0,COMPLETE
7,0.9574004520997587,2022-06-10 19:20:10.415276,2022-06-10 19:20:40.832930,0 days 00:00:30.417654,22.0,123.0,74.0,26.0,476.0,114.0,COMPLETE
56,0.957381499340479,2022-06-10 20:37:54.627139,2022-06-10 20:39:47.647986,0 days 00:01:53.020847,30.0,102.0,96.0,12.0,463.0,433.0,COMPLETE
9,0.9571282195208541,2022-06-10 19:21:11.423347,2022-06-10 19:21:42.887648,0 days 00:00:31.464301,21.0,113.0,43.0,20.0,155.0,122.0,COMPLETE
99,,2022-06-10 21:45:47.478813,,,,,,,,,RUNNING
