iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
9,0.9875965890619921,2022-06-14 14:06:30.639264,2022-06-14 14:08:24.186592,0 days 00:01:53.547328,16,268,30,17,462,416,COMPLETE
37,0.9872309467663439,2022-06-14 14:30:39.540446,2022-06-14 14:31:42.765964,0 days 00:01:03.225518,29,239,87,24,364,234,COMPLETE
79,0.9872232342150499,2022-06-14 15:01:52.646528,2022-06-14 15:02:39.728984,0 days 00:00:47.082456,29,164,88,18,421,175,COMPLETE
1,0.9872230834625194,2022-06-14 13:56:18.628602,2022-06-14 13:57:26.969045,0 days 00:01:08.340443,29,243,87,5,364,253,COMPLETE
89,0.9869858003984968,2022-06-14 15:09:12.335321,2022-06-14 15:11:17.160126,0 days 00:02:04.824805,28,227,99,15,372,464,COMPLETE
33,0.9868986848391883,2022-06-14 14:27:51.600098,2022-06-14 14:28:48.180383,0 days 00:00:56.580285,20,220,80,29,252,213,COMPLETE
20,0.9867269909513573,2022-06-14 14:17:12.267914,2022-06-14 14:18:43.005552,0 days 00:01:30.737638,25,234,77,30,171,340,COMPLETE
18,0.9866970638340515,2022-06-14 14:13:44.168122,2022-06-14 14:15:57.583553,0 days 00:02:13.415431,21,267,72,12,399,484,COMPLETE
0,0.9865934462577668,2022-06-14 13:55:34.408614,2022-06-14 13:56:18.628426,0 days 00:00:44.219812,29,140,72,22,470,167,COMPLETE
44,0.9861104108898412,2022-06-14 14:35:34.333194,2022-06-14 14:37:21.674848,0 days 00:01:47.341654,30,216,52,21,241,400,COMPLETE
50,0.9858233369683751,2022-06-14 14:41:02.383935,2022-06-14 14:41:34.490497,0 days 00:00:32.106562,27,210,66,30,281,117,COMPLETE
19,0.9857512627849119,2022-06-14 14:15:57.583672,2022-06-14 14:17:12.267799,0 days 00:01:14.684127,30,177,94,19,283,278,COMPLETE
10,0.983422543262485,2022-06-14 14:08:24.186708,2022-06-14 14:08:51.355641,0 days 00:00:27.168933,26,100,92,29,144,108,COMPLETE
7,0.9831185241344453,2022-06-14 14:03:15.209899,2022-06-14 14:05:10.077887,0 days 00:01:54.867988,24,174,32,27,324,437,COMPLETE
49,0.9826269129557241,2022-06-14 14:40:04.666931,2022-06-14 14:41:02.383800,0 days 00:00:57.716869,25,120,90,21,207,224,COMPLETE
30,0.9823163327261688,2022-06-14 14:25:24.609358,2022-06-14 14:26:33.768823,0 days 00:01:09.159465,18,150,93,23,370,264,COMPLETE
47,0.980956313059634,2022-06-14 14:38:38.889246,2022-06-14 14:39:24.990993,0 days 00:00:46.101747,23,100,77,24,264,183,COMPLETE
