depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
9,315,0.27785680434795035,0.015873810583845654,9,17,0.7905874252301206,1.9972144785814931,107
7,369,0.5693057528982842,0.01710791165745862,4,16,0.36891837000604644,1.997222208695644,200
6,311,0.4737974333684887,0.02388020991818123,7,11,0.6592367853516,1.997222514174417,279
9,377,0.5656268466024403,0.016094271691533577,2,17,0.16508095126051803,1.9972340311453,33
6,179,0.6757837236959076,0.04362471049772265,10,13,0.8740588345049123,1.9972386920514624,199
7,309,0.4531624338914677,0.020135110923319457,10,19,0.649877451942574,1.99723938390782,176
6,205,0.3587622380629833,0.04635449026927054,19,13,0.1185940809534091,1.9972518652626656,32
6,299,0.25789918937038864,0.026313867338018344,14,12,0.4601540416991584,1.9972535332578063,1
7,350,0.029132972498668586,0.01784644162167238,17,19,0.6908305771530121,1.9972661396871705,155
10,446,0.0661899975765759,0.011457037190404843,2,7,0.4868576254467979,1.9972823466130405,55
7,131,0.40176057598852205,0.050597063442367064,9,10,0.8647753123401057,1.997285558164108,171
11,290,0.3387131165271365,0.015912099214106905,11,6,0.5745855497658897,1.9972975926903511,185
9,149,0.3449476394629231,0.03841173018984464,14,7,0.6905692332953791,1.9973132601245525,262
11,257,0.6397401723239188,0.010870928345383864,4,9,0.06996492688059078,1.997325383511645,85
8,199,0.160365160230551,0.03161787538186636,7,13,0.6307721985031322,1.997340426417826,123
9,404,0.38870889433756534,0.014705046920282122,14,7,0.6163035361513477,1.99734143088985,258
