iteration,precision,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
6,0.7908184867928215,2022-06-28 15:27:25.933691,2022-06-28 15:27:27.957180,0 days 00:00:02.023489,2.4000000000000004,0.0008409565979011985,0.015248716300255045,19,5239,hinge,2617794,False,l1,COMPLETE
48,0.7328749527767283,2022-06-28 15:28:26.908615,2022-06-28 15:28:28.498009,0 days 00:00:01.589394,8.2,0.0008836477745602475,0.051236717724648786,13,4328,squared_hinge,9359098,False,l1,COMPLETE
41,0.7141513592946362,2022-06-28 15:28:16.469885,2022-06-28 15:28:18.461168,0 days 00:00:01.991283,7.5,0.0008162504509823029,0.07688661546744965,16,6465,squared_hinge,4282755,False,l1,COMPLETE
19,0.714136679548026,2022-06-28 15:27:43.498363,2022-06-28 15:27:45.112614,0 days 00:00:01.614251,6.7,0.00033934847143490907,0.046799176668302675,12,5995,squared_hinge,2106274,False,l1,COMPLETE
10,0.714136679548026,2022-06-28 15:27:29.675689,2022-06-28 15:27:31.361402,0 days 00:00:01.685713,6.3,0.00042268837005976343,0.097038829725589,5,9533,squared_hinge,9873039,True,l1,COMPLETE
31,0.6393039243043048,2022-06-28 15:28:03.031080,2022-06-28 15:28:04.715620,0 days 00:00:01.684540,8.3,0.0008125851033893138,0.055879930857093446,16,2872,squared_hinge,4685377,False,l1,COMPLETE
0,0.5995984271730946,2022-06-28 15:27:19.883380,2022-06-28 15:27:21.233978,0 days 00:00:01.350598,4.7,0.0007069741432897788,0.031331249588911994,17,1897,hinge,6757253,True,l1,COMPLETE
29,0.5985788714427078,2022-06-28 15:27:59.584078,2022-06-28 15:28:01.014400,0 days 00:00:01.430322,5.2,0.0006852943226720096,0.07406239041955939,18,1996,hinge,6610600,False,l1,COMPLETE
81,0.5984518396276817,2022-06-28 15:29:17.769298,2022-06-28 15:29:19.501054,0 days 00:00:01.731756,8.3,0.0007026449007630345,0.08493443862768275,16,5378,squared_hinge,3221877,False,l1,COMPLETE
50,0.5965723873441994,2022-06-28 15:28:29.857952,2022-06-28 15:28:31.406197,0 days 00:00:01.548245,7.2,0.00039745933764721413,0.09409823378630362,15,629,hinge,639363,True,l1,COMPLETE
39,0.5676996874606464,2022-06-28 15:28:14.466754,2022-06-28 15:28:15.854442,0 days 00:00:01.387688,5.3,0.0006961175284016914,0.0861100913622332,17,3513,hinge,8455864,True,l1,COMPLETE
2,0.563259273500679,2022-06-28 15:27:23.136759,2022-06-28 15:27:24.227940,0 days 00:00:01.091181,1.0,0.00018192006076208373,0.07018384657308176,10,7134,hinge,7675382,False,l1,COMPLETE
11,0.56282722513089,2022-06-28 15:27:31.361541,2022-06-28 15:27:32.513240,0 days 00:00:01.151699,3.7,0.0009327639520599123,0.002699268932713314,11,4994,hinge,2828076,False,l1,COMPLETE
46,0.5627393773487496,2022-06-28 15:28:25.178957,2022-06-28 15:28:26.293795,0 days 00:00:01.114838,8.8,0.00037609429321223525,0.0638933911670065,18,5268,hinge,7025872,True,l1,COMPLETE
79,0.5627258647392875,2022-06-28 15:29:15.067818,2022-06-28 15:29:16.253110,0 days 00:00:01.185292,9.3,0.0005050078273610767,0.08081204877730909,16,6074,hinge,2613254,False,l1,COMPLETE
68,0.5582897977667083,2022-06-28 15:28:58.623538,2022-06-28 15:29:00.514859,0 days 00:00:01.891321,6.2,0.0008140154806334564,0.05297891955123161,15,7098,hinge,5513923,False,l1,COMPLETE
17,0.49122602233376134,2022-06-28 15:27:40.213034,2022-06-28 15:27:41.544765,0 days 00:00:01.331731,7.3,0.0005279741061519187,0.054205335221800766,11,2294,squared_hinge,4260769,False,l1,COMPLETE
61,0.47431190075970286,2022-06-28 15:28:47.191776,2022-06-28 15:28:49.031192,0 days 00:00:01.839416,7.5,0.0007902775425060892,0.02591948925896863,12,8512,squared_hinge,5808025,True,l1,COMPLETE
18,0.4710725307922537,2022-06-28 15:27:41.544901,2022-06-28 15:27:43.498184,0 days 00:00:01.953283,10.0,0.0009733771897360628,0.07973485554379375,15,4081,squared_hinge,5911370,False,l1,COMPLETE
52,0.46900284530617165,2022-06-28 15:28:33.190658,2022-06-28 15:28:35.506996,0 days 00:00:02.316338,10.0,0.000611311552596342,0.08176181733281937,16,214,squared_hinge,3773176,False,l1,COMPLETE
96,0.393590073343154,2022-06-28 15:29:41.625759,2022-06-28 15:29:42.747105,0 days 00:00:01.121346,0.1,0.0007995280115585067,0.09543384949501083,6,9929,hinge,5354545,False,l1,COMPLETE
70,0.0,2022-06-28 15:29:01.863641,2022-06-28 15:29:02.491662,0 days 00:00:00.628021,4.7,0.000920427441467692,0.02295831244215478,15,3875,squared_hinge,7124407,False,l2,COMPLETE
5,0.0,2022-06-28 15:27:25.342180,2022-06-28 15:27:25.933549,0 days 00:00:00.591369,2.2,0.0005890062325793166,0.04057523162448266,9,6971,squared_hinge,5656470,False,l2,COMPLETE
4,0.0,2022-06-28 15:27:24.814437,2022-06-28 15:27:25.342020,0 days 00:00:00.527583,0.4,9.075200177009663e-05,0.013985727425248312,6,8016,hinge,8208434,True,l2,COMPLETE
8,0.0,2022-06-28 15:27:28.563514,2022-06-28 15:27:29.096554,0 days 00:00:00.533040,5.6,1.4756056140458736e-05,0.01569548908232086,17,7327,squared_hinge,5106124,True,l2,COMPLETE
3,0.0,2022-06-28 15:27:24.228058,2022-06-28 15:27:24.814321,0 days 00:00:00.586263,2.2,0.00020833814033312636,0.015896099094632486,17,463,squared_hinge,8906926,True,l2,COMPLETE
7,0.0,2022-06-28 15:27:27.957310,2022-06-28 15:27:28.563412,0 days 00:00:00.606102,9.3,0.00021695184323730944,0.06454749230472806,20,4051,squared_hinge,896275,True,l2,COMPLETE
87,0.0,2022-06-28 15:29:27.629126,2022-06-28 15:29:28.272108,0 days 00:00:00.642982,7.4,0.0006537297062486861,0.08331238105464658,7,6138,squared_hinge,1067875,False,l2,COMPLETE
9,0.0,2022-06-28 15:27:29.096710,2022-06-28 15:27:29.675571,0 days 00:00:00.578861,0.5,0.0006477928586622031,0.04725353329814635,13,8260,hinge,85492,False,l2,COMPLETE
36,0.0,2022-06-28 15:28:11.525708,2022-06-28 15:28:12.118397,0 days 00:00:00.592689,8.7,0.0004838895241562187,0.06893505072947066,9,4470,hinge,7452444,False,l2,COMPLETE
38,0.0,2022-06-28 15:28:13.877491,2022-06-28 15:28:14.466593,0 days 00:00:00.589102,6.2,0.0009012488991255107,0.08386541451198914,18,895,squared_hinge,8019062,False,l2,COMPLETE
40,0.0,2022-06-28 15:28:15.854631,2022-06-28 15:28:16.469746,0 days 00:00:00.615115,3.3000000000000003,0.0005725893615502485,0.09987561437468383,19,7409,squared_hinge,5572159,False,l2,COMPLETE
47,0.0,2022-06-28 15:28:26.293946,2022-06-28 15:28:26.908461,0 days 00:00:00.614515,1.4000000000000001,0.0009873710557673256,0.08573152631745792,12,7691,squared_hinge,2870604,False,l2,COMPLETE
57,0.0,2022-06-28 15:28:42.060493,2022-06-28 15:28:42.744611,0 days 00:00:00.684118,7.9,0.0008494281718696187,0.06079539687122809,19,4297,squared_hinge,3203073,False,l2,COMPLETE
99,0.0,2022-06-28 15:29:45.777529,2022-06-28 15:29:46.423313,0 days 00:00:00.645784,7.6,0.000762763443048753,0.08336716692329288,6,9995,squared_hinge,3520843,False,l2,COMPLETE
