iteration,recall,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
56,0.8580320366132723,2022-06-28 15:18:52.905599,2022-06-28 15:18:54.035591,0 days 00:00:01.129992,9.2,0.0002892891406287481,0.08661712512594347,11,9149,hinge,1224719,False,l1,COMPLETE
35,0.8530892448512586,2022-06-28 15:18:16.628196,2022-06-28 15:18:18.316439,0 days 00:00:01.688243,1.8000000000000003,0.0006781340222655626,0.02962398201441973,8,7015,squared_hinge,1304958,True,l1,COMPLETE
63,0.8499771167048055,2022-06-28 15:19:02.211070,2022-06-28 15:19:04.517996,0 days 00:00:02.306926,4.8,0.0004895735212211158,0.0028615500727795073,13,9572,squared_hinge,2820846,False,l1,COMPLETE
59,0.8499771167048055,2022-06-28 15:18:57.011208,2022-06-28 15:18:58.821575,0 days 00:00:01.810367,7.6,0.0005803003193756584,0.05179610688759139,15,4117,squared_hinge,4805809,False,l1,COMPLETE
12,0.8492814645308925,2022-06-28 15:17:41.080097,2022-06-28 15:17:42.813268,0 days 00:00:01.733171,4.0,5.076970614553141e-05,0.09913742088683816,9,2354,squared_hinge,3245082,True,l1,COMPLETE
17,0.8397254004576659,2022-06-28 15:17:48.087560,2022-06-28 15:17:50.164303,0 days 00:00:02.076743,1.1,0.0006454209011082344,0.06149039694383329,5,6222,squared_hinge,5069964,False,l1,COMPLETE
88,0.8246773455377574,2022-06-28 15:19:44.257951,2022-06-28 15:19:45.517583,0 days 00:00:01.259632,0.1,0.0004244504750488055,0.017734506258723012,7,8050,squared_hinge,8884410,True,l1,COMPLETE
10,0.8246773455377574,2022-06-28 15:17:37.954220,2022-06-28 15:17:39.582087,0 days 00:00:01.627867,0.1,1.5084063974496551e-05,0.07808143046822143,17,642,squared_hinge,715688,True,l1,COMPLETE
65,0.8127048054919909,2022-06-28 15:19:06.708508,2022-06-28 15:19:08.057867,0 days 00:00:01.349359,7.0,0.00031070792488212403,0.09928491472102145,10,9175,squared_hinge,3541370,True,l1,COMPLETE
11,0.8127048054919909,2022-06-28 15:17:39.582214,2022-06-28 15:17:41.079951,0 days 00:00:01.497737,4.1,0.000577850021447388,0.061974913742575174,9,6454,squared_hinge,6955234,False,l1,COMPLETE
