iteration,precision,datetime_start,datetime_complete,duration,alpha,solver,state
694,0.8642077864540068,2022-06-12 16:37:05.183436,2022-06-12 16:37:06.127885,0 days 00:00:00.944449,5.545034176091058,svd,COMPLETE
683,0.8642077864540068,2022-06-12 16:36:54.803583,2022-06-12 16:36:55.737856,0 days 00:00:00.934273,5.42450538852472,svd,COMPLETE
717,0.8642077864540068,2022-06-12 16:37:26.619037,2022-06-12 16:37:27.562271,0 days 00:00:00.943234,4.937015736906793,svd,COMPLETE
718,0.8642077864540068,2022-06-12 16:37:27.562838,2022-06-12 16:37:28.506320,0 days 00:00:00.943482,9.442567998575573,svd,COMPLETE
719,0.8642077864540068,2022-06-12 16:37:28.506888,2022-06-12 16:37:29.460922,0 days 00:00:00.954034,9.00379520888964,svd,COMPLETE
720,0.8642077864540068,2022-06-12 16:37:29.461500,2022-06-12 16:37:30.416954,0 days 00:00:00.955454,9.248340313558474,svd,COMPLETE
721,0.8642077864540068,2022-06-12 16:37:30.417522,2022-06-12 16:37:31.623587,0 days 00:00:01.206065,9.473681872749177,svd,COMPLETE
722,0.8642077864540068,2022-06-12 16:37:31.624152,2022-06-12 16:37:32.568433,0 days 00:00:00.944281,9.583637444356624,svd,COMPLETE
723,0.8642077864540068,2022-06-12 16:37:32.568996,2022-06-12 16:37:33.528227,0 days 00:00:00.959231,9.410474643356661,svd,COMPLETE
724,0.8642077864540068,2022-06-12 16:37:33.528872,2022-06-12 16:37:34.481916,0 days 00:00:00.953044,9.594710971533535,svd,COMPLETE
725,0.8642077864540068,2022-06-12 16:37:34.482508,2022-06-12 16:37:35.427845,0 days 00:00:00.945337,9.447218203708301,svd,COMPLETE
726,0.8642077864540068,2022-06-12 16:37:35.428420,2022-06-12 16:37:36.379134,0 days 00:00:00.950714,9.111077032673132,svd,COMPLETE
727,0.8642077864540068,2022-06-12 16:37:36.379703,2022-06-12 16:37:37.330078,0 days 00:00:00.950375,5.348825390421052,svd,COMPLETE
728,0.8642077864540068,2022-06-12 16:37:37.330676,2022-06-12 16:37:38.282867,0 days 00:00:00.952191,5.228109280765101,svd,COMPLETE
729,0.8642077864540068,2022-06-12 16:37:38.283433,2022-06-12 16:37:39.225604,0 days 00:00:00.942171,9.786779854975718,svd,COMPLETE
730,0.8642077864540068,2022-06-12 16:37:39.226176,2022-06-12 16:37:40.185349,0 days 00:00:00.959173,9.711691072453807,svd,COMPLETE
731,0.8642077864540068,2022-06-12 16:37:40.186010,2022-06-12 16:37:41.133933,0 days 00:00:00.947923,9.606409696359018,svd,COMPLETE
732,0.8642077864540068,2022-06-12 16:37:41.134502,2022-06-12 16:37:42.087791,0 days 00:00:00.953289,9.951922770893374,svd,COMPLETE
733,0.8642077864540068,2022-06-12 16:37:42.088405,2022-06-12 16:37:43.035864,0 days 00:00:00.947459,9.23026743723232,svd,COMPLETE
734,0.8642077864540068,2022-06-12 16:37:43.036445,2022-06-12 16:37:43.994445,0 days 00:00:00.958000,9.824854611214871,svd,COMPLETE
736,0.8642077864540068,2022-06-12 16:37:44.591828,2022-06-12 16:37:45.542542,0 days 00:00:00.950714,5.866914950366112,svd,COMPLETE
737,0.8642077864540068,2022-06-12 16:37:45.543241,2022-06-12 16:37:46.511319,0 days 00:00:00.968078,9.749921467526836,svd,COMPLETE
738,0.8642077864540068,2022-06-12 16:37:46.511944,2022-06-12 16:37:47.458214,0 days 00:00:00.946270,9.83890029673189,svd,COMPLETE
739,0.8642077864540068,2022-06-12 16:37:47.458822,2022-06-12 16:37:48.410447,0 days 00:00:00.951625,9.983716095799295,svd,COMPLETE
740,0.8642077864540068,2022-06-12 16:37:48.411026,2022-06-12 16:37:49.363802,0 days 00:00:00.952776,9.458134281818817,svd,COMPLETE
741,0.8642077864540068,2022-06-12 16:37:49.364378,2022-06-12 16:37:50.314484,0 days 00:00:00.950106,9.753543701919455,svd,COMPLETE
742,0.8642077864540068,2022-06-12 16:37:50.315080,2022-06-12 16:37:51.264601,0 days 00:00:00.949521,9.907047883845662,svd,COMPLETE
715,0.8642077864540068,2022-06-12 16:37:25.073193,2022-06-12 16:37:26.020199,0 days 00:00:00.947006,9.275828148208074,svd,COMPLETE
714,0.8642077864540068,2022-06-12 16:37:24.122725,2022-06-12 16:37:25.072616,0 days 00:00:00.949891,9.311541686363679,svd,COMPLETE
713,0.8642077864540068,2022-06-12 16:37:23.170145,2022-06-12 16:37:24.122172,0 days 00:00:00.952027,5.470145831201416,svd,COMPLETE
712,0.8642077864540068,2022-06-12 16:37:22.220217,2022-06-12 16:37:23.169576,0 days 00:00:00.949359,5.5713646070550915,svd,COMPLETE
684,0.8642077864540068,2022-06-12 16:36:55.738388,2022-06-12 16:36:56.674753,0 days 00:00:00.936365,5.652770267705508,svd,COMPLETE
685,0.8642077864540068,2022-06-12 16:36:56.675309,2022-06-12 16:36:57.619078,0 days 00:00:00.943769,5.915789090070582,svd,COMPLETE
686,0.8642077864540068,2022-06-12 16:36:57.619710,2022-06-12 16:36:58.561318,0 days 00:00:00.941608,5.513382958339917,svd,COMPLETE
687,0.8642077864540068,2022-06-12 16:36:58.561858,2022-06-12 16:36:59.504206,0 days 00:00:00.942348,5.765592625448106,svd,COMPLETE
688,0.8642077864540068,2022-06-12 16:36:59.504758,2022-06-12 16:37:00.443409,0 days 00:00:00.938651,5.301010394894945,svd,COMPLETE
689,0.8642077864540068,2022-06-12 16:37:00.443959,2022-06-12 16:37:01.387782,0 days 00:00:00.943823,4.760860624651975,svd,COMPLETE
690,0.8642077864540068,2022-06-12 16:37:01.388341,2022-06-12 16:37:02.352097,0 days 00:00:00.963756,4.621968150405504,svd,COMPLETE
691,0.8642077864540068,2022-06-12 16:37:02.352660,2022-06-12 16:37:03.299113,0 days 00:00:00.946453,5.105383234358437,svd,COMPLETE
692,0.8642077864540068,2022-06-12 16:37:03.299646,2022-06-12 16:37:04.240510,0 days 00:00:00.940864,5.695856816574789,svd,COMPLETE
693,0.8642077864540068,2022-06-12 16:37:04.241065,2022-06-12 16:37:05.182890,0 days 00:00:00.941825,5.8667849371762815,svd,COMPLETE
695,0.8642077864540068,2022-06-12 16:37:06.128443,2022-06-12 16:37:07.079835,0 days 00:00:00.951392,6.111617909206913,svd,COMPLETE
696,0.8642077864540068,2022-06-12 16:37:07.080421,2022-06-12 16:37:08.027447,0 days 00:00:00.947026,5.597340662177221,svd,COMPLETE
682,0.8642077864540068,2022-06-12 16:36:53.858903,2022-06-12 16:36:54.803044,0 days 00:00:00.944141,0.2805757550943637,svd,COMPLETE
698,0.8642077864540068,2022-06-12 16:37:08.620383,2022-06-12 16:37:09.572335,0 days 00:00:00.951952,0.23955802895671083,svd,COMPLETE
700,0.8642077864540068,2022-06-12 16:37:10.823854,2022-06-12 16:37:11.763738,0 days 00:00:00.939884,5.682153627757236,svd,COMPLETE
701,0.8642077864540068,2022-06-12 16:37:11.764303,2022-06-12 16:37:12.718098,0 days 00:00:00.953795,6.225890082517742,svd,COMPLETE
702,0.8642077864540068,2022-06-12 16:37:12.718646,2022-06-12 16:37:13.663045,0 days 00:00:00.944399,6.374692386215255,svd,COMPLETE
703,0.8642077864540068,2022-06-12 16:37:13.663600,2022-06-12 16:37:14.611200,0 days 00:00:00.947600,6.102971649713359,svd,COMPLETE
704,0.8642077864540068,2022-06-12 16:37:14.611784,2022-06-12 16:37:15.565730,0 days 00:00:00.953946,5.9513826479425145,svd,COMPLETE
705,0.8642077864540068,2022-06-12 16:37:15.566329,2022-06-12 16:37:16.519539,0 days 00:00:00.953210,5.759613118981184,svd,COMPLETE
706,0.8642077864540068,2022-06-12 16:37:16.520103,2022-06-12 16:37:17.473382,0 days 00:00:00.953279,5.611622411708622,svd,COMPLETE
707,0.8642077864540068,2022-06-12 16:37:17.473934,2022-06-12 16:37:18.423331,0 days 00:00:00.949397,6.1298691442649655,svd,COMPLETE
708,0.8642077864540068,2022-06-12 16:37:18.423903,2022-06-12 16:37:19.374707,0 days 00:00:00.950804,6.251575360671483,svd,COMPLETE
709,0.8642077864540068,2022-06-12 16:37:19.375281,2022-06-12 16:37:20.323529,0 days 00:00:00.948248,5.872162301978646,svd,COMPLETE
710,0.8642077864540068,2022-06-12 16:37:20.324087,2022-06-12 16:37:21.273948,0 days 00:00:00.949861,6.007176927841675,svd,COMPLETE
711,0.8642077864540068,2022-06-12 16:37:21.274505,2022-06-12 16:37:22.219650,0 days 00:00:00.945145,6.331534298278739,svd,COMPLETE
699,0.8642077864540068,2022-06-12 16:37:09.572891,2022-06-12 16:37:10.823256,0 days 00:00:01.250365,5.261999291985198,svd,COMPLETE
641,0.8642077864540068,2022-06-12 16:36:15.544792,2022-06-12 16:36:16.480565,0 days 00:00:00.935773,4.541546570125351,svd,COMPLETE
626,0.8642077864540068,2022-06-12 16:36:01.865955,2022-06-12 16:36:02.800999,0 days 00:00:00.935044,1.9369054883574177,svd,COMPLETE
638,0.8642077864540068,2022-06-12 16:36:13.093949,2022-06-12 16:36:14.025330,0 days 00:00:00.931381,2.0525904000291058,svd,COMPLETE
549,0.8642077864540068,2022-06-12 16:34:51.190607,2022-06-12 16:34:52.105845,0 days 00:00:00.915238,7.411317758017375,svd,COMPLETE
550,0.8642077864540068,2022-06-12 16:34:52.106312,2022-06-12 16:34:53.023596,0 days 00:00:00.917284,7.173371313757428,svd,COMPLETE
551,0.8642077864540068,2022-06-12 16:34:53.024081,2022-06-12 16:34:53.941153,0 days 00:00:00.917072,7.336547792809386,svd,COMPLETE
552,0.8642077864540068,2022-06-12 16:34:53.941605,2022-06-12 16:34:54.859641,0 days 00:00:00.918036,7.6791742990596905,svd,COMPLETE
553,0.8642077864540068,2022-06-12 16:34:54.860110,2022-06-12 16:34:55.783502,0 days 00:00:00.923392,7.532993926447452,svd,COMPLETE
554,0.8642077864540068,2022-06-12 16:34:55.783942,2022-06-12 16:34:56.704314,0 days 00:00:00.920372,7.784669011379818,svd,COMPLETE
555,0.8642077864540068,2022-06-12 16:34:56.704805,2022-06-12 16:34:57.624150,0 days 00:00:00.919345,7.822418365213281,svd,COMPLETE
556,0.8642077864540068,2022-06-12 16:34:57.624615,2022-06-12 16:34:58.535743,0 days 00:00:00.911128,7.476318429171561,svd,COMPLETE
557,0.8642077864540068,2022-06-12 16:34:58.536237,2022-06-12 16:34:59.453934,0 days 00:00:00.917697,7.357065872317791,svd,COMPLETE
558,0.8642077864540068,2022-06-12 16:34:59.454401,2022-06-12 16:35:00.373087,0 days 00:00:00.918686,7.6081154575732475,svd,COMPLETE
