iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
508,0.9071486573509555,2022-06-14 00:04:23.354644,2022-06-14 00:04:24.100581,0 days 00:00:00.745937,1.882892578385557,False,0.9506438896132896,872405.0,False,random,0.06834650890301097,COMPLETE
199,0.9079595876702209,2022-06-14 00:00:42.072214,2022-06-14 00:00:42.674073,0 days 00:00:00.601859,1.7355939257621338,False,0.7791665459244385,8699118.0,False,random,0.05810877882067999,COMPLETE
742,0.9086587442182176,2022-06-14 00:07:41.669560,2022-06-14 00:07:42.520682,0 days 00:00:00.851122,1.3184480604364306,False,0.9812822592228067,2436458.0,False,random,0.07687336774988568,COMPLETE
2,0.9096294141223438,2022-06-13 23:58:37.597752,2022-06-13 23:58:38.129946,0 days 00:00:00.532194,0.22901340709900977,False,0.752407309859023,6270109.0,False,cyclic,0.0889933674754432,COMPLETE
548,0.9304410885720977,2022-06-14 00:04:55.095789,2022-06-14 00:04:55.889041,0 days 00:00:00.793252,0.4970473990676004,False,0.9691006742045459,1311014.0,False,random,0.07842013586690647,COMPLETE
706,0.9305291131893892,2022-06-14 00:07:08.703896,2022-06-14 00:07:09.569096,0 days 00:00:00.865200,0.4907341718102476,False,0.976410878591027,1760091.0,False,random,0.08100604867215379,COMPLETE
4,0.935343363128046,2022-06-13 23:58:38.550081,2022-06-13 23:58:39.118178,0 days 00:00:00.568097,1.8866304434082333,False,0.17820781974059607,9037324.0,False,random,0.05534303972327854,COMPLETE
35,0.9515649491964148,2022-06-13 23:59:00.004919,2022-06-13 23:59:00.897537,0 days 00:00:00.892618,1.5440583973870952,False,0.18023729930119625,9331938.0,False,cyclic,0.04527216892937986,COMPLETE
945,0.9588619344799482,2022-06-14 00:10:57.416334,2022-06-14 00:10:58.710254,0 days 00:00:01.293920,0.07055972908533081,True,0.9581992190582463,2596335.0,False,random,0.08930228573641887,COMPLETE
817,0.9603703013729818,2022-06-14 00:08:51.434108,2022-06-14 00:08:52.602531,0 days 00:00:01.168423,1.933846437033491,True,0.028808614666049615,3159777.0,False,random,0.07738883353448252,COMPLETE
637,0.9614308297511718,2022-06-14 00:06:08.692824,2022-06-14 00:06:09.508383,0 days 00:00:00.815559,0.09025315664855849,True,0.9777116061564832,1468679.0,False,random,0.09046214865694868,COMPLETE
568,0.963852650962568,2022-06-14 00:05:11.174830,2022-06-14 00:05:12.008558,0 days 00:00:00.833728,0.008803607245431389,True,0.9880080576672055,1483537.0,False,random,0.08216256330729517,COMPLETE
715,0.9652334433513565,2022-06-14 00:07:16.813396,2022-06-14 00:07:17.658565,0 days 00:00:00.845169,1.9069835560241302,True,0.05046816773828461,1208755.0,False,random,0.07908333000888923,COMPLETE
628,0.9669199207655125,2022-06-14 00:06:00.979238,2022-06-14 00:06:01.770424,0 days 00:00:00.791186,1.3610063402498889,True,0.08377832903928317,1770476.0,False,random,0.08350142237360719,COMPLETE
106,0.9684303792599512,2022-06-13 23:59:44.268694,2022-06-13 23:59:44.838361,0 days 00:00:00.569667,1.6438101674592693,True,0.1326747924643371,9354356.0,False,cyclic,0.034585666415791416,COMPLETE
716,0.9684646772351369,2022-06-14 00:07:17.659233,2022-06-14 00:07:18.510581,0 days 00:00:00.851348,1.9988445991098491,True,0.11159778281916305,1950502.0,False,cyclic,0.08655365852054965,COMPLETE
53,0.9687580410886222,2022-06-13 23:59:10.810316,2022-06-13 23:59:11.355121,0 days 00:00:00.544805,1.297756777572138,True,0.18840830792316926,8969171.0,False,cyclic,0.07728358509336544,COMPLETE
89,0.9687707039083646,2022-06-13 23:59:33.765394,2022-06-13 23:59:34.320032,0 days 00:00:00.554638,1.546306235722872,True,0.1599239292617166,5474711.0,False,cyclic,0.042309301131100596,COMPLETE
44,0.9689017813493497,2022-06-13 23:59:05.643271,2022-06-13 23:59:06.186104,0 days 00:00:00.542833,1.4757662360745214,True,0.17449556786919895,9994659.0,False,cyclic,0.037835573133472515,COMPLETE
125,0.968960526291144,2022-06-13 23:59:56.747912,2022-06-13 23:59:57.329153,0 days 00:00:00.581241,1.765981568184102,True,0.14800311627546395,9202171.0,False,cyclic,0.04421628358156673,COMPLETE
103,0.9691039071500988,2022-06-13 23:59:42.442569,2022-06-13 23:59:43.007726,0 days 00:00:00.565157,1.565809022836229,True,0.1733140439240324,6706360.0,False,cyclic,0.04036953372234128,COMPLETE
99,0.9691683078293515,2022-06-13 23:59:39.864994,2022-06-13 23:59:40.460956,0 days 00:00:00.595962,1.3742755877069248,True,0.20043590772097053,7854999.0,False,cyclic,0.03730231067107407,COMPLETE
75,0.9692939863484501,2022-06-13 23:59:24.992619,2022-06-13 23:59:25.548396,0 days 00:00:00.555777,1.8816366642152322,True,0.15708628506921932,7052125.0,False,cyclic,0.04630037661692281,COMPLETE
47,0.9692942229703799,2022-06-13 23:59:07.464434,2022-06-13 23:59:07.968024,0 days 00:00:00.503590,0.5603860455808378,True,0.5092068003158405,2146774.0,False,cyclic,0.04947467513176397,COMPLETE
50,0.9697897330357339,2022-06-13 23:59:09.092095,2022-06-13 23:59:09.671035,0 days 00:00:00.578940,0.9758433148563612,True,0.33807877107591816,6810174.0,False,cyclic,0.06391240220310689,COMPLETE
69,0.9697980547538692,2022-06-13 23:59:20.874445,2022-06-13 23:59:21.394288,0 days 00:00:00.519843,1.4075257072988616,True,0.23555195150319783,5342333.0,False,cyclic,0.05823068389650187,COMPLETE
59,0.9701285894514757,2022-06-13 23:59:14.642938,2022-06-13 23:59:15.198880,0 days 00:00:00.555942,1.7087582660691252,True,0.2086241541700551,9615196.0,False,cyclic,0.05366865198284514,COMPLETE
51,0.9705938251674078,2022-06-13 23:59:09.671153,2022-06-13 23:59:10.187792,0 days 00:00:00.516639,1.359561537100162,True,0.29420637021322027,9207973.0,False,cyclic,0.09057141094836313,COMPLETE
62,0.9734790091077559,2022-06-13 23:59:16.379061,2022-06-13 23:59:17.102327,0 days 00:00:00.723266,0.0239692381473241,True,0.27202710856592227,8724348.0,False,cyclic,0.04899314249408193,COMPLETE
19,0.9743570648419485,2022-06-13 23:58:50.171547,2022-06-13 23:58:50.785034,0 days 00:00:00.613487,0.8343845128264912,True,0.013732543696552246,5930396.0,False,cyclic,0.06638840924061022,COMPLETE
353,0.9746683513334603,2022-06-14 00:02:25.428587,2022-06-14 00:02:26.455744,0 days 00:00:01.027157,1.1787164676905082,True,0.0031306054123199645,4868163.0,False,random,0.0395147263252283,COMPLETE
22,0.9746857599187407,2022-06-13 23:58:52.109078,2022-06-13 23:58:52.617253,0 days 00:00:00.508175,1.7370470951386887,True,0.10128247300967423,8217046.0,False,cyclic,0.026886483736382687,COMPLETE
39,0.9747177874166921,2022-06-13 23:59:02.599381,2022-06-13 23:59:03.182746,0 days 00:00:00.583365,1.092814672389894,True,0.16214292524006516,6886797.0,False,cyclic,0.03657229048552827,COMPLETE
45,0.9748259906581781,2022-06-13 23:59:06.186238,2022-06-13 23:59:06.742236,0 days 00:00:00.555998,1.6059066768710344,True,0.119246502612952,9520124.0,False,cyclic,0.06157737247255459,COMPLETE
85,0.974962863187502,2022-06-13 23:59:31.186920,2022-06-13 23:59:31.762112,0 days 00:00:00.575192,1.909610403671895,True,0.10636665319109478,6859246.0,False,cyclic,0.028401051310946578,COMPLETE
57,0.9749883931793788,2022-06-13 23:59:13.287571,2022-06-13 23:59:13.886409,0 days 00:00:00.598838,1.412909955167676,True,0.1439050263173376,4467473.0,False,cyclic,0.09997497598173974,COMPLETE
11,0.9770762841987608,2022-06-13 23:58:42.497370,2022-06-13 23:58:43.680462,0 days 00:00:01.183092,1.4841833337134038,True,0.019892695122994575,3151510.0,False,random,0.0013948686792094253,COMPLETE
25,0.9773997229139395,2022-06-13 23:58:53.908647,2022-06-13 23:58:54.471820,0 days 00:00:00.563173,1.9668299131056872,True,0.07836996669971913,7919427.0,False,cyclic,0.026892266711300197,COMPLETE
100,0.9778328349603838,2022-06-13 23:59:40.461119,2022-06-13 23:59:41.170313,0 days 00:00:00.709194,0.1752201587314859,True,0.3558682180089481,7456716.0,False,cyclic,0.08482808306474347,COMPLETE
382,0.9779653503879099,2022-06-14 00:02:47.701972,2022-06-14 00:02:48.639373,0 days 00:00:00.937401,1.8165863614401032,True,0.04593550127012869,1588779.0,False,random,0.04035769376375317,COMPLETE
46,0.9780370114670095,2022-06-13 23:59:06.742379,2022-06-13 23:59:07.464310,0 days 00:00:00.721931,1.4597238624766586,True,0.05064224673127832,9076516.0,False,cyclic,0.04286167687873173,COMPLETE
56,0.9782575725090848,2022-06-13 23:59:12.697562,2022-06-13 23:59:13.287423,0 days 00:00:00.589861,0.4038810372914722,True,0.3165355137999033,174091.0,False,cyclic,0.03555105411922419,COMPLETE
26,0.978275369031658,2022-06-13 23:58:54.471931,2022-06-13 23:58:55.325979,0 days 00:00:00.854048,1.8177452729578536,True,0.4193302020844063,9929837.0,False,cyclic,0.010717915999846802,COMPLETE
646,0.9783204210412195,2022-06-14 00:06:16.095798,2022-06-14 00:06:17.696233,0 days 00:00:01.600435,0.7517101388910383,True,0.9859939464904482,1214094.0,False,random,0.002335738161644063,COMPLETE
