iteration,precision,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
652,0.905474157695919,2022-07-03 02:53:17.748573,2022-07-03 02:53:20.337545,0 days 00:00:02.588972,9.8,0.9367037387068127,63,22683059,l1,0.0038495440297595667,COMPLETE
166,0.905437973796065,2022-07-03 02:34:09.811646,2022-07-03 02:34:14.625158,0 days 00:00:04.813512,5.1,0.3163791561030784,90,23098513,l1,0.00159259890029146,COMPLETE
781,0.9053294552452599,2022-07-03 02:58:30.038111,2022-07-03 02:58:34.157402,0 days 00:00:04.119291,3.7,0.2934082437358511,112,23856392,l1,0.0042046236548589425,COMPLETE
398,0.90530081300813,2022-07-03 02:42:53.326073,2022-07-03 02:42:55.678628,0 days 00:00:02.352555,8.9,0.6418230613889487,163,8624518,l1,0.0016970143027912024,COMPLETE
686,0.9052848169807234,2022-07-03 02:54:44.025956,2022-07-03 02:54:47.253921,0 days 00:00:03.227965,9.8,0.3522000901471269,88,7958513,l1,0.009389834276332429,COMPLETE
941,0.9052711496746204,2022-07-03 03:06:03.886559,2022-07-03 03:06:06.959129,0 days 00:00:03.072570,8.8,0.44541507401708935,171,25346073,l1,0.011913686784953572,COMPLETE
459,0.9052673128371562,2022-07-03 02:45:19.874825,2022-07-03 02:45:22.039977,0 days 00:00:02.165152,9.3,0.3904678993151319,266,8716063,l1,0.006839703651376616,COMPLETE
624,0.9051518696650634,2022-07-03 02:52:13.609173,2022-07-03 02:52:16.115300,0 days 00:00:02.506127,9.2,0.303870297550016,65,16885474,l1,0.001662042090542046,COMPLETE
839,0.9051308992207338,2022-07-03 03:02:02.332743,2022-07-03 03:02:05.026130,0 days 00:00:02.693387,9.1,0.43167472797443646,204,37430884,l1,0.008843293688882566,COMPLETE
951,0.9051308992207338,2022-07-03 03:06:27.849049,2022-07-03 03:06:30.613684,0 days 00:00:02.764635,9.1,0.4252898492045926,164,23856933,l1,0.008651162478962839,COMPLETE
956,0.9051171084966183,2022-07-03 03:06:39.449130,2022-07-03 03:06:42.635806,0 days 00:00:03.186676,9.2,0.529971817472472,180,23510043,l1,0.008595943816073336,COMPLETE
700,0.9050461323188596,2022-07-03 02:55:17.329591,2022-07-03 02:55:20.645255,0 days 00:00:03.315664,10.0,0.3370805294330064,200,14747746,l1,0.0035766246555916092,COMPLETE
474,0.9050440562345584,2022-07-03 02:45:54.391217,2022-07-03 02:45:57.699748,0 days 00:00:03.308531,10.0,0.46259169683905194,100,20374517,l1,0.0017138786174406653,COMPLETE
343,0.9050440562345584,2022-07-03 02:40:45.888429,2022-07-03 02:40:49.063080,0 days 00:00:03.174651,10.0,0.13597388863447524,154,27926840,l1,0.0032320408017157643,COMPLETE
479,0.9050403968202395,2022-07-03 02:46:06.345430,2022-07-03 02:46:08.764010,0 days 00:00:02.418580,9.2,0.22778542749990982,253,11134869,l1,0.010936756243149317,COMPLETE
359,0.9049680701374607,2022-07-03 02:41:28.083027,2022-07-03 02:41:31.329322,0 days 00:00:03.246295,9.8,0.36483335317321275,197,25028129,l1,0.00657700038208677,COMPLETE
250,0.9049446237027994,2022-07-03 02:37:20.603554,2022-07-03 02:37:23.511984,0 days 00:00:02.908430,3.2,0.6797402766228102,127,19637605,l1,0.01009636240538538,COMPLETE
390,0.9049392607349342,2022-07-03 02:42:36.629288,2022-07-03 02:42:39.512297,0 days 00:00:02.883009,9.2,0.3146167788252055,143,15118287,l1,0.003363555264454367,COMPLETE
91,0.9048901827029611,2022-07-03 02:31:23.271557,2022-07-03 02:31:26.697719,0 days 00:00:03.426162,5.0,0.3906214606181848,180,30898286,l1,0.004617530020972158,COMPLETE
946,0.9047856538803478,2022-07-03 03:06:15.174661,2022-07-03 03:06:18.066463,0 days 00:00:02.891802,8.9,0.4393697462476163,171,24162899,l1,0.009015182495817427,COMPLETE
153,0.9047412578316387,2022-07-03 02:33:38.305930,2022-07-03 02:33:41.100992,0 days 00:00:02.795062,5.8,0.3655395603523126,184,20398112,l1,0.0033784740088798684,COMPLETE
330,0.9046885174734101,2022-07-03 02:40:13.896673,2022-07-03 02:40:16.290454,0 days 00:00:02.393781,6.5,0.47831980412692443,179,23068683,l1,0.007350984730744189,COMPLETE
567,0.9046861377506539,2022-07-03 02:49:37.204767,2022-07-03 02:49:41.063512,0 days 00:00:03.858745,9.2,0.3241725957009927,99,35951057,l1,0.0017878944908855656,COMPLETE
452,0.9046653144016227,2022-07-03 02:44:57.797716,2022-07-03 02:45:00.271864,0 days 00:00:02.474148,4.7,0.9225875741545917,84,18052697,l1,0.007682594217497341,COMPLETE
259,0.9046095303986854,2022-07-03 02:37:39.347955,2022-07-03 02:37:41.876003,0 days 00:00:02.528048,3.2,0.7581970168769374,94,25492261,l1,0.0016062631010164488,COMPLETE
930,0.9046027646969467,2022-07-03 03:05:36.691267,2022-07-03 03:05:39.358773,0 days 00:00:02.667506,8.6,0.40398280128496405,172,29525102,l1,0.0057567014596423185,COMPLETE
669,0.9045429903502115,2022-07-03 02:53:57.225346,2022-07-03 02:53:59.758064,0 days 00:00:02.532718,9.2,0.9767295862472737,179,23509950,l1,0.006115787181134161,COMPLETE
539,0.9044631771548063,2022-07-03 02:48:29.208288,2022-07-03 02:48:32.339226,0 days 00:00:03.130938,9.8,0.2409347766918757,125,25844008,l1,0.004918446635489319,COMPLETE
814,0.9044610961052539,2022-07-03 03:00:42.964615,2022-07-03 03:00:46.297009,0 days 00:00:03.332394,9.8,0.5902038034865286,222,30483252,l1,0.0036336504945928393,COMPLETE
664,0.9044538821735816,2022-07-03 02:53:44.400269,2022-07-03 02:53:47.469681,0 days 00:00:03.069412,9.8,0.3197324186513305,148,22397649,l1,0.007981857196118342,COMPLETE
736,0.9044285496880231,2022-07-03 02:56:39.739689,2022-07-03 02:56:42.509369,0 days 00:00:02.769680,2.9000000000000004,0.34587645908433556,136,30103263,l1,0.00012147642753672599,COMPLETE
648,0.9043860028547948,2022-07-03 02:53:09.007371,2022-07-03 02:53:12.124066,0 days 00:00:03.116695,7.8,0.3087033688804339,159,19419129,l1,0.001754863932625746,COMPLETE
458,0.90432406644403,2022-07-03 02:45:17.019838,2022-07-03 02:45:19.874407,0 days 00:00:02.854569,4.1,0.9027471534117236,72,4563605,l1,0.001975348306186109,COMPLETE
551,0.9043029933867038,2022-07-03 02:48:56.480076,2022-07-03 02:48:59.121359,0 days 00:00:02.641283,9.6,0.2682492684023752,116,49924374,l1,0.005551766054889575,COMPLETE
668,0.9042516193539973,2022-07-03 02:53:54.663047,2022-07-03 02:53:57.224773,0 days 00:00:02.561726,4.3999999999999995,0.38950043803154266,74,30988365,l1,0.0015806778071093767,COMPLETE
856,0.9042115572967678,2022-07-03 03:02:44.370077,2022-07-03 03:02:47.057775,0 days 00:00:02.687698,9.2,0.4800574745931362,163,27743779,l1,0.008054309501153873,COMPLETE
840,0.9041974771639844,2022-07-03 03:02:05.026814,2022-07-03 03:02:07.507508,0 days 00:00:02.480694,8.6,0.4558534508858237,175,32973054,l1,0.011101326430412686,COMPLETE
255,0.9041421408327883,2022-07-03 02:37:30.513986,2022-07-03 02:37:32.499017,0 days 00:00:01.985031,3.5000000000000004,0.7153683847256886,136,24297648,l1,0.006537117006354596,COMPLETE
144,0.9040991461927165,2022-07-03 02:33:18.115973,2022-07-03 02:33:20.954449,0 days 00:00:02.838476,5.4,0.32054682812183743,164,23375914,l1,1.1588524940389644e-05,COMPLETE
71,0.9040895919123254,2022-07-03 02:30:40.765910,2022-07-03 02:30:43.312377,0 days 00:00:02.546467,2.8000000000000003,0.41761291380777166,140,21857830,l1,0.009132606074930343,COMPLETE
321,0.9040857974034996,2022-07-03 02:39:54.802360,2022-07-03 02:39:57.434590,0 days 00:00:02.632230,4.3999999999999995,0.5060533579720656,212,47574332,l1,0.006854645660529644,COMPLETE
909,0.9040249677141627,2022-07-03 03:04:48.304020,2022-07-03 03:04:50.957340,0 days 00:00:02.653320,8.6,0.42913188394981816,163,27226678,l1,0.012132908155200666,COMPLETE
818,0.9040180508548121,2022-07-03 03:00:53.193932,2022-07-03 03:00:55.562833,0 days 00:00:02.368901,9.2,0.48558583969629826,273,35661673,l1,0.007679323165729881,COMPLETE
264,0.9037904683111624,2022-07-03 02:37:50.843958,2022-07-03 02:37:53.248902,0 days 00:00:02.404944,2.8000000000000003,0.7274604910235498,115,2152839,l1,0.005198415819906221,COMPLETE
443,0.9036713135336393,2022-07-03 02:44:35.301684,2022-07-03 02:44:38.804638,0 days 00:00:03.502954,3.3000000000000003,0.8463798402138845,234,35288560,l1,0.004302787542500484,COMPLETE
756,0.9033101986984066,2022-07-03 02:57:25.918257,2022-07-03 02:57:28.727058,0 days 00:00:02.808801,6.9,0.3201063799662684,132,6798957,l1,0.0066055054784683155,COMPLETE
181,0.9031441369311666,2022-07-03 02:34:45.718288,2022-07-03 02:34:49.174768,0 days 00:00:03.456480,8.2,0.32849055289456236,65,18273710,l1,6.509470196390272e-05,COMPLETE
341,0.9031400600782313,2022-07-03 02:40:40.632961,2022-07-03 02:40:43.659049,0 days 00:00:03.026088,9.5,0.17601376096148053,160,25213205,l1,0.0020387630231866495,COMPLETE
