iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
499,0.9162976568205335,2022-06-13 22:20:30.393173,2022-06-13 22:20:31.271478,0 days 00:00:00.878305,6.453003594102397,svd,COMPLETE
144,0.9162976568205335,2022-06-13 22:15:34.086476,2022-06-13 22:15:34.886695,0 days 00:00:00.800219,6.4422667907009625,svd,COMPLETE
275,0.9162976568205335,2022-06-13 22:17:20.113585,2022-06-13 22:17:20.933157,0 days 00:00:00.819572,5.95094000447515,svd,COMPLETE
295,0.9162976568205335,2022-06-13 22:17:36.546014,2022-06-13 22:17:37.384879,0 days 00:00:00.838865,6.731095610102815,svd,COMPLETE
302,0.9162976568205335,2022-06-13 22:17:42.414561,2022-06-13 22:17:43.249996,0 days 00:00:00.835435,6.753575675838136,svd,COMPLETE
316,0.9162976568205335,2022-06-13 22:17:53.907101,2022-06-13 22:17:54.767739,0 days 00:00:00.860638,8.116772245219288,svd,COMPLETE
320,0.9162976568205335,2022-06-13 22:17:57.296591,2022-06-13 22:17:58.143520,0 days 00:00:00.846929,6.603213664377062,svd,COMPLETE
337,0.9162976568205335,2022-06-13 22:18:11.371698,2022-06-13 22:18:12.232821,0 days 00:00:00.861123,5.947227469262931,svd,COMPLETE
340,0.9162976568205335,2022-06-13 22:18:13.933127,2022-06-13 22:18:14.785289,0 days 00:00:00.852162,5.945288627768502,svd,COMPLETE
344,0.9162976568205335,2022-06-13 22:18:17.595133,2022-06-13 22:18:18.470708,0 days 00:00:00.875575,6.463520603730091,svd,COMPLETE
349,0.9162976568205335,2022-06-13 22:18:21.871541,2022-06-13 22:18:22.724582,0 days 00:00:00.853041,6.544819766670041,svd,COMPLETE
397,0.9162976568205335,2022-06-13 22:19:02.019381,2022-06-13 22:19:02.881898,0 days 00:00:00.862517,8.904385992370088,svd,COMPLETE
412,0.9162976568205335,2022-06-13 22:19:14.912334,2022-06-13 22:19:15.775204,0 days 00:00:00.862870,6.9022632273368,svd,COMPLETE
415,0.9162976568205335,2022-06-13 22:19:17.509775,2022-06-13 22:19:18.382890,0 days 00:00:00.873115,6.67553238168769,svd,COMPLETE
421,0.9162976568205335,2022-06-13 22:19:22.719055,2022-06-13 22:19:23.580765,0 days 00:00:00.861710,6.534820673204838,svd,COMPLETE
166,0.9162976568205335,2022-06-13 22:15:51.495961,2022-06-13 22:15:52.306392,0 days 00:00:00.810431,5.999719520527459,svd,COMPLETE
432,0.9162976568205335,2022-06-13 22:19:31.976960,2022-06-13 22:19:32.859180,0 days 00:00:00.882220,6.452480436590082,svd,COMPLETE
433,0.9162976568205335,2022-06-13 22:19:32.859528,2022-06-13 22:19:33.732302,0 days 00:00:00.872774,6.5009917609006465,svd,COMPLETE
434,0.9162976568205335,2022-06-13 22:19:33.732670,2022-06-13 22:19:34.607589,0 days 00:00:00.874919,7.114416227129049,svd,COMPLETE
160,0.9162976568205335,2022-06-13 22:15:46.642706,2022-06-13 22:15:47.456085,0 days 00:00:00.813379,7.512152546882824,svd,COMPLETE
100,0.9162976568205335,2022-06-13 22:14:59.183443,2022-06-13 22:15:00.003976,0 days 00:00:00.820533,6.894167578741428,svd,COMPLETE
157,0.9162976568205335,2022-06-13 22:15:44.214885,2022-06-13 22:15:45.024984,0 days 00:00:00.810099,6.923260812619839,svd,COMPLETE
476,0.9162976568205335,2022-06-13 22:20:10.175709,2022-06-13 22:20:11.067388,0 days 00:00:00.891679,6.573212948091182,svd,COMPLETE
154,0.9162976568205335,2022-06-13 22:15:42.137227,2022-06-13 22:15:42.948186,0 days 00:00:00.810959,6.676279224325091,svd,COMPLETE
489,0.9162976568205335,2022-06-13 22:20:21.664305,2022-06-13 22:20:22.542000,0 days 00:00:00.877695,6.873968933705906,svd,COMPLETE
150,0.9162976568205335,2022-06-13 22:15:38.921357,2022-06-13 22:15:39.726064,0 days 00:00:00.804707,5.953768219794806,svd,COMPLETE
501,0.9162976568205335,2022-06-13 22:20:32.153658,2022-06-13 22:20:33.029087,0 days 00:00:00.875429,6.53884347825967,svd,COMPLETE
504,0.9162976568205335,2022-06-13 22:20:34.813648,2022-06-13 22:20:35.720725,0 days 00:00:00.907077,6.775385417816447,svd,COMPLETE
507,0.9162976568205335,2022-06-13 22:20:37.471240,2022-06-13 22:20:38.372558,0 days 00:00:00.901318,6.620398863719732,svd,COMPLETE
513,0.9162976568205335,2022-06-13 22:20:42.483052,2022-06-13 22:20:43.380299,0 days 00:00:00.897247,7.112481128951897,svd,COMPLETE
473,0.9162976568205335,2022-06-13 22:20:07.505293,2022-06-13 22:20:08.383723,0 days 00:00:00.878430,6.713457834936544,svd,COMPLETE
104,0.9162976568205335,2022-06-13 22:15:02.381534,2022-06-13 22:15:03.199806,0 days 00:00:00.818272,7.118009628496297,svd,COMPLETE
97,0.9162976568205335,2022-06-13 22:14:56.736028,2022-06-13 22:14:57.523958,0 days 00:00:00.787930,5.949694598501603,svd,COMPLETE
879,0.9162976568205335,2022-06-13 22:26:25.027066,2022-06-13 22:26:26.014050,0 days 00:00:00.986984,6.000148500723932,svd,COMPLETE
36,0.9162976568205335,2022-06-13 22:14:10.149826,2022-06-13 22:14:10.903330,0 days 00:00:00.753504,8.42766791357862,svd,COMPLETE
39,0.9162976568205335,2022-06-13 22:14:12.139570,2022-06-13 22:14:12.958742,0 days 00:00:00.819172,6.776482102913496,svd,COMPLETE
49,0.9162976568205335,2022-06-13 22:14:19.751205,2022-06-13 22:14:20.579213,0 days 00:00:00.828008,7.6345325239110595,svd,COMPLETE
719,0.9162976568205335,2022-06-13 22:23:50.993211,2022-06-13 22:23:52.192682,0 days 00:00:01.199471,6.001662215336949,svd,COMPLETE
827,0.9162976568205335,2022-06-13 22:25:34.627927,2022-06-13 22:25:35.593259,0 days 00:00:00.965332,7.1490335044346995,svd,COMPLETE
32,0.9162976568205335,2022-06-13 22:14:06.983508,2022-06-13 22:14:07.721730,0 days 00:00:00.738222,6.930779358873416,svd,COMPLETE
818,0.9162976568205335,2022-06-13 22:25:26.265350,2022-06-13 22:25:27.212580,0 days 00:00:00.947230,6.850724748922451,svd,COMPLETE
809,0.9162976568205335,2022-06-13 22:25:17.296022,2022-06-13 22:25:18.258432,0 days 00:00:00.962410,6.51564099880212,svd,COMPLETE
807,0.9162976568205335,2022-06-13 22:25:15.367964,2022-06-13 22:25:16.329904,0 days 00:00:00.961940,6.753538374260334,svd,COMPLETE
805,0.9162976568205335,2022-06-13 22:25:13.446466,2022-06-13 22:25:14.411982,0 days 00:00:00.965516,6.857765183123476,svd,COMPLETE
66,0.9162976568205335,2022-06-13 22:14:32.622436,2022-06-13 22:14:33.530656,0 days 00:00:00.908220,6.555405970605813,svd,COMPLETE
