iteration,recall,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
9,0.9193592677345538,2022-06-28 22:33:29.814972,2022-06-28 22:33:31.016688,0 days 00:00:01.201716,7.0,0.0005864588770159725,0.08024894799687927,15.0,2542.0,squared_hinge,4323050.0,False,l1,COMPLETE
6,0.9193592677345538,2022-06-28 22:33:25.594961,2022-06-28 22:33:27.113601,0 days 00:00:01.518640,7.6,0.0008754771114707773,0.05998041978789366,20.0,4829.0,squared_hinge,9302265.0,True,l1,COMPLETE
3,0.9193592677345538,2022-06-28 22:33:21.856642,2022-06-28 22:33:23.165052,0 days 00:00:01.308410,0.4,0.00015401399095106092,0.002400303615336651,8.0,5910.0,squared_hinge,4482062.0,False,l1,COMPLETE
27,0.9193592677345538,2022-06-28 22:33:50.888790,2022-06-28 22:33:52.108298,0 days 00:00:01.219508,2.7,0.00025275353069559146,0.04108422432030017,6.0,1810.0,squared_hinge,2019113.0,True,l1,COMPLETE
24,0.9193592677345538,2022-06-28 22:33:47.769723,2022-06-28 22:33:48.919236,0 days 00:00:01.149513,3.9000000000000004,0.00011915943376898297,0.018501436892175573,11.0,262.0,squared_hinge,464122.0,True,l1,COMPLETE
38,0.9193592677345538,2022-06-28 22:34:02.766457,2022-06-28 22:34:03.944121,0 days 00:00:01.177664,1.8000000000000003,0.0008380230204193556,0.017360796230064864,9.0,4533.0,squared_hinge,2134695.0,True,l1,COMPLETE
32,0.9193592677345538,2022-06-28 22:33:56.785361,2022-06-28 22:33:57.735494,0 days 00:00:00.950133,1.2000000000000002,0.0008277911738679435,0.013141522220529531,9.0,1681.0,squared_hinge,1923779.0,True,l1,COMPLETE
42,0.9193592677345538,2022-06-28 22:34:07.857082,2022-06-28 22:34:09.090653,0 days 00:00:01.233571,6.7,0.000651150311591102,0.08719124448194265,16.0,876.0,squared_hinge,5053219.0,False,l1,COMPLETE
41,0.9193592677345538,2022-06-28 22:34:06.544672,2022-06-28 22:34:07.856899,0 days 00:00:01.312227,1.7000000000000002,0.0008428635341612662,0.026169978419775166,13.0,4072.0,squared_hinge,3613417.0,True,l1,COMPLETE
40,0.9193592677345538,2022-06-28 22:34:05.351458,2022-06-28 22:34:06.544525,0 days 00:00:01.193067,6.8,0.0006292887802011795,0.08495329763109352,15.0,1155.0,squared_hinge,4299148.0,False,l1,COMPLETE
43,0.9193592677345538,2022-06-28 22:34:09.090880,2022-06-28 22:34:10.495363,0 days 00:00:01.404483,2.4000000000000004,9.282758396394683e-05,0.026629311176654,11.0,161.0,squared_hinge,103324.0,False,l1,COMPLETE
33,0.9193592677345538,2022-06-28 22:33:57.735658,2022-06-28 22:33:58.986394,0 days 00:00:01.250736,2.9000000000000004,1.8178643462503984e-05,0.06962710639237776,6.0,2818.0,squared_hinge,3216014.0,True,l1,COMPLETE
35,0.9193592677345538,2022-06-28 22:33:59.612601,2022-06-28 22:34:00.796100,0 days 00:00:01.183499,3.9000000000000004,0.00018030734596173104,0.02769304647929301,13.0,3970.0,squared_hinge,6820200.0,True,l1,COMPLETE
31,0.9193592677345538,2022-06-28 22:33:55.411151,2022-06-28 22:33:56.785228,0 days 00:00:01.374077,5.5,0.0002141115480095029,0.010912638395713515,7.0,2108.0,squared_hinge,1647158.0,True,l1,COMPLETE
30,0.9193592677345538,2022-06-28 22:33:54.128563,2022-06-28 22:33:55.410996,0 days 00:00:01.282433,8.6,0.0002979476029305087,0.04313113179905741,18.0,675.0,squared_hinge,5258022.0,True,l1,COMPLETE
58,0.7394050343249428,2022-06-28 22:34:27.547612,2022-06-28 22:34:28.666396,0 days 00:00:01.118784,8.4,2.9891950951524772e-05,0.06311948090686055,9.0,9790.0,hinge,3232807.0,True,l1,COMPLETE
39,0.7389473684210527,2022-06-28 22:34:03.944292,2022-06-28 22:34:05.351323,0 days 00:00:01.407031,4.3,0.0007078574100906842,0.07241150329409163,13.0,2964.0,hinge,3001480.0,True,l1,COMPLETE
88,0.7388558352402746,2022-06-28 22:35:04.459038,2022-06-28 22:35:05.685471,0 days 00:00:01.226433,9.3,0.00027656405483656506,0.05615909679132128,18.0,1274.0,hinge,53414.0,True,l1,COMPLETE
8,0.7388558352402746,2022-06-28 22:33:28.569938,2022-06-28 22:33:29.814843,0 days 00:00:01.244905,9.0,0.0005466523795066964,0.0069521180887393745,16.0,8901.0,hinge,9717685.0,False,l1,COMPLETE
47,0.7387276887871853,2022-06-28 22:34:14.020199,2022-06-28 22:34:15.162394,0 days 00:00:01.142195,3.4000000000000004,0.0004504549762798046,0.0063524010682782985,11.0,1438.0,hinge,576298.0,False,l1,COMPLETE
7,0.7385812356979405,2022-06-28 22:33:27.113711,2022-06-28 22:33:28.569816,0 days 00:00:01.456105,2.2,0.0006622509350943036,0.09721639525983033,7.0,6349.0,hinge,3504540.0,False,l1,COMPLETE
36,0.7384530892448513,2022-06-28 22:34:00.796298,2022-06-28 22:34:02.119932,0 days 00:00:01.323634,1.3000000000000003,0.0003298045613954787,0.0010324499871783872,6.0,1224.0,hinge,1752312.0,True,l1,COMPLETE
4,0.7382700228832952,2022-06-28 22:33:23.165262,2022-06-28 22:33:24.910689,0 days 00:00:01.745427,6.4,0.0007404248451369515,0.06878510343889284,18.0,9073.0,hinge,9103068.0,True,l1,COMPLETE
70,0.7382700228832952,2022-06-28 22:34:41.658671,2022-06-28 22:34:42.956889,0 days 00:00:01.298218,6.3,0.000764760970054365,0.004289931702819076,6.0,2828.0,hinge,3375027.0,True,l1,COMPLETE
48,0.0,2022-06-28 22:34:15.162545,2022-06-28 22:34:15.801128,0 days 00:00:00.638583,0.7000000000000001,0.0007709652146016873,0.03829597517117017,8.0,3796.0,squared_hinge,1841877.0,True,l2,COMPLETE
5,0.0,2022-06-28 22:33:24.910862,2022-06-28 22:33:25.594848,0 days 00:00:00.683986,4.7,0.0009625527985657518,0.062189437861311064,14.0,5107.0,squared_hinge,3897558.0,False,l2,COMPLETE
