iteration,recall,datetime_start,datetime_complete,duration,metric,n_neighbors,state
79,0.8089885583524028,2022-06-15 19:27:20.716678,2022-06-15 19:27:57.818659,0 days 00:00:37.101981,minkowski,26.0,COMPLETE
16,0.8059313501144165,2022-06-15 13:46:48.754767,2022-06-15 13:48:19.611281,0 days 00:01:30.856514,minkowski,15.0,COMPLETE
8,0.8025446224256293,2022-06-15 13:34:20.284319,2022-06-15 13:35:51.579348,0 days 00:01:31.295029,chebyshev,22.0,COMPLETE
49,0.8025446224256293,2022-06-15 14:39:15.169072,2022-06-15 14:40:46.556130,0 days 00:01:31.387058,chebyshev,22.0,COMPLETE
9,0.7873318077803204,2022-06-15 13:35:51.579444,2022-06-15 13:37:21.679128,0 days 00:01:30.099684,minkowski,9.0,COMPLETE
78,0.7846590389016018,2022-06-15 19:26:44.136260,2022-06-15 19:27:20.716535,0 days 00:00:36.580275,minkowski,14.0,COMPLETE
6,0.732558352402746,2022-06-15 13:31:14.226533,2022-06-15 13:32:44.191983,0 days 00:01:29.965450,chebyshev,6.0,COMPLETE
51,0.732558352402746,2022-06-15 19:09:33.506073,2022-06-15 19:10:15.000489,0 days 00:00:41.494416,chebyshev,6.0,COMPLETE
56,0.7234782608695652,2022-06-15 19:12:47.454995,2022-06-15 19:13:23.910785,0 days 00:00:36.455790,chebyshev,3.0,COMPLETE
50,,2022-06-15 14:40:46.556251,,,,,RUNNING
