iteration,precision,datetime_start,datetime_complete,duration,metric,n_neighbors,state
84,0.41065504455864177,2022-06-15 20:53:15.175695,2022-06-15 20:53:52.287220,0 days 00:00:37.111525,chebyshev,26,COMPLETE
5,0.40422102909087615,2022-06-15 20:05:00.856531,2022-06-15 20:05:38.177696,0 days 00:00:37.321165,manhattan,32,COMPLETE
99,0.40416494380333046,2022-06-15 21:02:25.509838,2022-06-15 21:03:02.064216,0 days 00:00:36.554378,euclidean,9,COMPLETE
69,0.40416494380333046,2022-06-15 20:44:08.642000,2022-06-15 20:44:45.182785,0 days 00:00:36.540785,chebyshev,9,COMPLETE
16,0.40416494380333046,2022-06-15 20:11:46.805839,2022-06-15 20:12:23.297863,0 days 00:00:36.492024,euclidean,9,COMPLETE
57,0.40416494380333046,2022-06-15 20:36:51.583337,2022-06-15 20:37:28.090310,0 days 00:00:36.506973,minkowski,9,COMPLETE
49,0.40416494380333046,2022-06-15 20:31:58.108789,2022-06-15 20:32:34.661187,0 days 00:00:36.552398,manhattan,9,COMPLETE
96,0.402096707485929,2022-06-15 21:00:34.668616,2022-06-15 21:01:12.502435,0 days 00:00:37.833819,chebyshev,34,COMPLETE
46,0.40006965342953843,2022-06-15 20:30:06.877551,2022-06-15 20:30:44.779425,0 days 00:00:37.901874,euclidean,36,COMPLETE
44,0.39943561507845315,2022-06-15 20:28:53.913619,2022-06-15 20:29:30.464465,0 days 00:00:36.550846,manhattan,11,COMPLETE
78,0.39943561507845315,2022-06-15 20:49:36.480200,2022-06-15 20:50:13.088321,0 days 00:00:36.608121,chebyshev,11,COMPLETE
34,0.39943561507845315,2022-06-15 20:22:47.781977,2022-06-15 20:23:24.479650,0 days 00:00:36.697673,euclidean,11,COMPLETE
43,0.397601082327731,2022-06-15 20:28:17.225019,2022-06-15 20:28:53.913478,0 days 00:00:36.688459,euclidean,13,COMPLETE
9,0.397601082327731,2022-06-15 20:07:29.904785,2022-06-15 20:08:06.685989,0 days 00:00:36.781204,manhattan,13,COMPLETE
37,0.397601082327731,2022-06-15 20:24:37.514830,2022-06-15 20:25:14.197075,0 days 00:00:36.682245,euclidean,13,COMPLETE
35,0.39702394372548133,2022-06-15 20:23:24.479768,2022-06-15 20:24:01.170465,0 days 00:00:36.690697,euclidean,15,COMPLETE
24,0.39702394372548133,2022-06-15 20:16:41.781857,2022-06-15 20:17:18.552490,0 days 00:00:36.770633,euclidean,15,COMPLETE
0,0.39604714740285935,2022-06-15 20:01:56.874780,2022-06-15 20:02:33.674117,0 days 00:00:36.799337,chebyshev,17,COMPLETE
39,0.38925924965197617,2022-06-15 20:25:50.722355,2022-06-15 20:26:27.979272,0 days 00:00:37.256917,euclidean,29,COMPLETE
55,0.3892426488862988,2022-06-15 20:35:36.556922,2022-06-15 20:36:14.956609,0 days 00:00:38.399687,euclidean,50,COMPLETE
19,0.38786451978760333,2022-06-15 20:13:37.225560,2022-06-15 20:14:14.491888,0 days 00:00:37.266328,minkowski,31,COMPLETE
3,0.38786451978760333,2022-06-15 20:03:46.934622,2022-06-15 20:04:24.282715,0 days 00:00:37.348093,euclidean,31,COMPLETE
20,0.3831266346072724,2022-06-15 20:14:14.492004,2022-06-15 20:14:52.424147,0 days 00:00:37.932143,chebyshev,39,COMPLETE
7,0.3820729373048121,2022-06-15 20:06:14.767635,2022-06-15 20:06:52.846093,0 days 00:00:38.078458,manhattan,41,COMPLETE
88,0.38073808132253484,2022-06-15 20:55:41.506605,2022-06-15 20:56:19.765493,0 days 00:00:38.258888,chebyshev,43,COMPLETE
14,0.3789188427656277,2022-06-15 20:10:32.060064,2022-06-15 20:11:10.214900,0 days 00:00:38.154836,euclidean,47,COMPLETE
