iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
79,0.996781876814794,2022-09-17 03:37:20.745449,2022-09-17 03:38:31.743299,0 days 00:01:10.997850,0.39723710477371266,0.683463894317379,0.32654449306694067,0.14345334027272685,10.0,3.0,485.0,2.115334843648576,0.1587926927356096,0.6913515685019921,COMPLETE
43,0.9967703924985478,2022-09-17 03:12:31.349665,2022-09-17 03:12:53.823743,0 days 00:00:22.474078,0.46197324412896695,0.9624304712123244,0.6877797822205671,0.16772873970939062,10.0,1.0,474.0,1.0652443262841538,0.8504662757887949,0.3149056402457543,COMPLETE
44,0.996720134783519,2022-09-17 03:12:53.824018,2022-09-17 03:13:16.412002,0 days 00:00:22.587984,0.45702831578232417,0.9653445245630302,0.7615980126969476,0.15969346385366584,10.0,1.0,483.0,1.0735653082965322,0.8529376956466498,0.314144102100953,COMPLETE
71,0.9967064251378435,2022-09-17 03:30:13.820334,2022-09-17 03:31:12.748787,0 days 00:00:58.928453,0.3231223958222292,0.6495612380144484,0.18034666231146523,0.18873879659455184,10.0,3.0,459.0,0.6256794825848595,1.3260604931934532,0.7329589985215317,COMPLETE
41,0.996699494630868,2022-09-17 03:11:47.405415,2022-09-17 03:12:09.411480,0 days 00:00:22.006065,0.4314270870211702,0.9634750056482386,0.7858885933610406,0.1704778790824369,10.0,1.0,472.0,0.888164004774203,0.9189256522405022,0.3221147017667873,COMPLETE
89,0.9965874633477552,2022-09-17 03:46:07.272319,2022-09-17 03:47:03.284472,0 days 00:00:56.012153,0.49497260791974074,0.5790361155734416,1.224066250933759,0.18210983017310917,10.0,4.0,491.0,0.6999194730480853,0.22840795187880442,0.5906044520981222,COMPLETE
42,0.9965685167222524,2022-09-17 03:12:09.411742,2022-09-17 03:12:31.349330,0 days 00:00:21.937588,0.4612870396966491,0.9717012447858924,0.9684390702646386,0.16313008766949652,10.0,1.0,477.0,0.9303740622600116,0.9275542784945376,0.3165410365948268,COMPLETE
48,0.9965119881667449,2022-09-17 03:14:10.311088,2022-09-17 03:14:34.135518,0 days 00:00:23.824430,0.4553419598572205,0.987140095449056,0.2795167082627502,0.13526632576865316,10.0,2.0,498.0,1.4606269447871068,0.31562595493208623,0.3207819023942924,COMPLETE
85,0.9965087563983945,2022-09-17 03:42:39.238562,2022-09-17 03:43:30.651772,0 days 00:00:51.413210,0.46963859702475746,0.6734917413138378,0.9084240022627232,0.20788599749633727,10.0,5.0,425.0,0.9529554831130203,0.2946161776531777,0.6499769792335657,COMPLETE
72,0.9964934991275453,2022-09-17 03:31:12.749098,2022-09-17 03:32:12.385862,0 days 00:00:59.636764,0.3549227705214731,0.5431786003842365,0.3672965910336232,0.2013081291562839,10.0,3.0,431.0,0.6034398411493886,1.049331330603509,0.6977186773675199,COMPLETE
39,0.9962620793594412,2022-09-17 03:11:20.476452,2022-09-17 03:11:38.901156,0 days 00:00:18.424704,0.4738046117301635,0.9666995361993309,1.1887443086467713,0.20906880620997603,10.0,1.0,419.0,0.8692503119309558,0.8533302437736157,0.3042893411711396,COMPLETE
