iteration,roc_weighted,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
271,0.9929534924587752,2022-09-20 00:50:49.006678,2022-09-20 00:51:07.204589,0 days 00:00:18.197911,0.45154182430147527,0.6654601846479651,0.04799964286668559,0.20480983339137734,7,5,618,1.377623712989151,2.518977452686273,0.6184881391437117,COMPLETE
66,0.9929520748644093,2022-09-19 23:50:10.223501,2022-09-19 23:50:30.001904,0 days 00:00:19.778403,0.4655416202626924,0.7817659037258837,0.03076413282732595,0.22242288332406507,8,4,605,1.3603198103223328,2.5182086952050446,0.6414811582612227,COMPLETE
220,0.992951885370803,2022-09-20 00:35:56.734157,2022-09-20 00:36:14.332715,0 days 00:00:17.598558,0.46233763432844366,0.6611674739057816,0.009865698500243748,0.2041821499925768,7,5,594,1.5460174212741922,2.490450048705139,0.6367413297481322,COMPLETE
257,0.992951836242831,2022-09-20 00:46:25.676522,2022-09-20 00:46:41.711339,0 days 00:00:16.034817,0.44851354243746044,0.6671557553005492,0.0551194944514963,0.20006284142909622,7,5,590,1.6604133092711975,2.4273860819897175,0.6402685981351146,COMPLETE
111,0.9929503133742394,2022-09-20 00:03:52.314206,2022-09-20 00:04:08.678429,0 days 00:00:16.364223,0.4646017826854359,0.6767665570247118,0.04457888691895387,0.20718841090201176,7,5,618,1.4776624691259677,2.740642875400136,0.6375092543235842,COMPLETE
266,0.9929502537188448,2022-09-20 00:49:25.877810,2022-09-20 00:49:42.058927,0 days 00:00:16.181117,0.4671050829787866,0.6657837368541899,0.040610165004381436,0.20275124641139664,7,5,612,1.4188832293793479,2.504139200137787,0.6492598360004781,COMPLETE
244,0.9929486080303236,2022-09-20 00:42:45.354766,2022-09-20 00:43:01.154759,0 days 00:00:15.799993,0.4462720251249446,0.6580780557462034,0.1423467578785939,0.20668067474116006,7,5,587,1.7021249979198851,2.439421088186819,0.6306790661969279,COMPLETE
279,0.9929485799571967,2022-09-20 00:53:23.925961,2022-09-20 00:53:40.564626,0 days 00:00:16.638665,0.45221980566562514,0.7164957771278554,0.026898266520378092,0.20250959183010256,7,5,588,1.4696059984193148,2.51365339762744,0.6257293959143158,COMPLETE
276,0.9929469939240696,2022-09-20 00:52:26.449906,2022-09-20 00:52:45.758335,0 days 00:00:19.308429,0.4541805205855533,0.7920620437619095,0.11524545226292907,0.20758575686954664,7,5,597,1.3071802479129728,2.4329213568710193,0.63386554415423,COMPLETE
269,0.9929469377778161,2022-09-20 00:50:17.611877,2022-09-20 00:50:33.837026,0 days 00:00:16.225149,0.4490772824689581,0.6723411689142086,0.40542626152227834,0.2110768723049144,7,5,611,1.6169038552660022,2.482283001669601,0.6498639924372959,COMPLETE
248,0.9929453201624213,2022-09-20 00:43:50.635733,2022-09-20 00:44:08.761332,0 days 00:00:18.125599,0.45497069341835,0.6609904272760974,0.1577661879924041,0.2049435669719838,7,5,580,1.7791667303135645,2.4476128733316997,0.6373357124017033,COMPLETE
290,0.9929452850710128,2022-09-20 00:56:29.899651,2022-09-20 00:56:45.934077,0 days 00:00:16.034426,0.44303820041681213,0.6842785989104535,0.04249190291718141,0.2068974110107043,7,5,608,1.4094643198651915,2.541831375469164,0.6318568894005433,COMPLETE
280,0.9929452219064774,2022-09-20 00:53:40.565099,2022-09-20 00:53:58.299345,0 days 00:00:17.734246,0.45017798580925716,0.6581962023090221,0.26208890343132,0.21090777576507302,7,5,619,1.4308957247345164,2.4722325940565133,0.6357086873866067,COMPLETE
168,0.9929437411475762,2022-09-20 00:20:52.820344,2022-09-20 00:21:13.083276,0 days 00:00:20.262932,0.46181604854737374,0.6305851851276641,0.05369452672092765,0.20021814825967468,8,5,624,1.350848904939087,2.682971290332018,0.6187397751362159,COMPLETE
121,0.9929436499099138,2022-09-20 00:06:59.026368,2022-09-20 00:07:17.187928,0 days 00:00:18.161560,0.44632614271463644,0.6459115254477006,0.06974345137450337,0.20191221526031236,7,5,645,1.48909789677423,2.6219426493192803,0.640129149459461,COMPLETE
98,0.9929436007819419,2022-09-19 23:59:46.262725,2022-09-20 00:00:03.241005,0 days 00:00:16.978280,0.4427946337341856,0.5409078046303797,0.09463156543380183,0.21248498585308276,7,5,636,1.5237395899084911,2.477717168536216,0.6493299213339109,COMPLETE
272,0.9929435095442797,2022-09-20 00:51:07.205071,2022-09-20 00:51:23.198843,0 days 00:00:15.993772,0.44516872670982494,0.6436995173584301,0.03424167761316547,0.20002504525491815,7,5,601,1.433103703653334,2.5749898943815617,0.6278169052018034,COMPLETE
278,0.9929420463310827,2022-09-20 00:53:06.577585,2022-09-20 00:53:23.925517,0 days 00:00:17.347932,0.45862413034819666,0.7348101649382979,0.07839669464927417,0.20518173196399636,7,5,605,1.7597394929006207,2.4007464273373484,0.6496869406639044,COMPLETE
