iteration,precision,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,params_reg_lambd,subsample,state
22,0.9997731113210678,2022-09-18 14:34:38.003585,2022-09-18 14:35:33.205416,0 days 00:00:55.201831,0.13433545972487018,0.8892933603113699,1.8127663956667925,0.007597968416911891,15,3,622,1.0675917446595105,2.693572261806476,0.780322030537986,COMPLETE
87,0.9997715706199506,2022-09-18 15:15:48.095433,2022-09-18 15:16:38.893933,0 days 00:00:50.798500,0.24914220065863982,0.7415521934656126,1.8791311549444614,0.01729432293053476,19,5,502,0.4644387933043323,1.8457833731205369,0.7474182942119404,COMPLETE
98,0.9997650020981955,2022-09-18 15:22:59.940534,2022-09-18 15:23:28.983645,0 days 00:00:29.043111,0.2787135798287992,0.6816969663560648,1.891350699644886,0.028785688326790574,16,6,443,1.4892479341546945,1.605491456912814,0.6538433755926739,COMPLETE
74,0.9997583397943874,2022-09-18 15:07:54.119299,2022-09-18 15:08:25.785346,0 days 00:00:31.666047,0.2678019435556014,0.7815759472116165,2.163214326919632,0.023317338989605984,14,5,544,0.6146914322659316,1.0189898835247586,0.5806911841009972,COMPLETE
26,0.9997550401331508,2022-09-18 14:36:54.315199,2022-09-18 14:37:27.296655,0 days 00:00:32.981456,0.2771610544914118,0.9012416833917438,1.887329202205062,0.021339334914639865,14,5,575,1.2869013543885601,2.362991303091322,0.7365121727988333,COMPLETE
85,0.999754935695798,2022-09-18 15:14:23.655025,2022-09-18 15:15:02.356362,0 days 00:00:38.701337,0.2920562239060747,0.7621860926684555,1.653984351699305,0.01928319217145128,15,2,519,0.8567231682118213,1.3648097300422652,0.559541548220769,COMPLETE
47,0.9997516019992683,2022-09-18 14:52:08.497939,2022-09-18 14:53:06.614887,0 days 00:00:58.116948,0.3456576043620937,0.6035400655665516,1.3550136433048856,0.017819178085693506,17,4,540,0.4979182454983861,1.747052062256592,0.7736123328036302,COMPLETE
37,0.9997483424153759,2022-09-18 14:44:46.841586,2022-09-18 14:45:44.132193,0 days 00:00:57.290607,0.3002695935004105,0.69571054882107,0.9112190822890169,0.02290487534617841,17,5,554,0.3672177588123958,2.1068437388836094,0.7510581827273219,COMPLETE
57,0.9997447591668401,2022-09-18 14:58:30.758313,2022-09-18 14:59:09.467511,0 days 00:00:38.709198,0.36258680834692397,0.7776977287198409,2.6107321882904944,0.014922586429646471,19,5,478,0.9075675006295765,1.4423466160080838,0.5715134943093343,COMPLETE
7,0.9997444691009347,2022-09-18 14:26:17.975519,2022-09-18 14:26:50.706970,0 days 00:00:32.731451,0.12627931443928808,0.674700302994822,2.304845512888984,0.04280460588573529,20,8,665,0.4795616289312992,2.0659129479157547,0.7041960103978163,COMPLETE
